screen_rank,candidate_id,arxiv_id,title,authors,published,primary_category,route_ids,route_families,route_ranks,C0_candidate,C1_metadata,C2_abstract,domain_hits,method_hits,mechanism_hits,evaluation_hits,screen_score,decision,screen_reason,canonical_url,pdf_url,raw_files
49,arxiv:2605.16020,2605.16020,Variational Autoregressive Networks with probability priors,Piotr Białas; Piotr Korcyl; Tomasz Stebel; Dawid Zapolski,2026-05-15T14:54:30Z,cs.LG,Q11,critical_slowing,Q11:4,pass,pass,pass,hep-lat;ising model,sampler;monte carlo,,critical slowing;autocorrelation,17,include,domain and sampling-method gates passed,https://arxiv.org/abs/2605.16020,https://arxiv.org/pdf/2605.16020v1,raw/arxiv/Q11.xml
50,arxiv:1604.05544,1604.05544,Jarzynski's theorem for lattice gauge theory,Michele Caselle; Gianluca Costagliola; Alessandro Nada; Marco Panero; Arianna Toniato,2016-04-19T12:49:55Z,hep-lat,Q12,jarzynski,Q12:23,pass,pass,pass,lattice gauge;hep-lat,reweight,non-equilibrium;jarzynski,,16,include,domain and sampling-method gates passed,https://arxiv.org/abs/1604.05544,https://arxiv.org/pdf/1604.05544v2,raw/arxiv/Q12.xml
51,arxiv:1710.04435,1710.04435,The equation of state with non-equilibrium methods,Alessandro Nada; Michele Caselle; Marco Panero,2017-10-12T10:23:25Z,hep-lat,Q12,jarzynski,Q12:20,pass,pass,pass,lattice gauge;hep-lat,monte carlo,non-equilibrium;jarzynski,,16,include,domain and sampling-method gates passed,https://arxiv.org/abs/1710.04435,https://arxiv.org/pdf/1710.04435v1,raw/arxiv/Q12.xml
52,arxiv:2003.06413,2003.06413,Equivariant flow-based sampling for lattice gauge theory,Gurtej Kanwar; Michael S. Albergo; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Sébastien Racanière; Danilo Jimenez Rezende; Phiala E. Shanahan,2020-03-13T17:54:05Z,hep-lat,P06,root_reference_hypothesis,P06:1,pass,pass,pass,lattice gauge;hep-lat,sampling;monte carlo,,hybrid monte carlo,16,include,domain and sampling-method gates passed,https://arxiv.org/abs/2003.06413,https://arxiv.org/pdf/2003.06413v1,raw/arxiv/P06.xml
53,arxiv:2203.10989,2203.10989,Hierarchical autoregressive neural networks for statistical systems,Piotr Białas; Piotr Korcyl; Tomasz Stebel,2022-03-21T13:55:53Z,cond-mat.stat-mech,Q04,domain,Q04:4,pass,pass,pass,hep-lat;ising model,sampler;monte carlo,,autocorrelation,16,include,domain and sampling-method gates passed,https://arxiv.org/abs/2203.10989,https://arxiv.org/pdf/2203.10989v2,raw/arxiv/Q04.xml
54,arxiv:2211.07541,2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Alexander G. D. G. Matthews; Sébastien Racanière; Ali Razavi; Danilo J. Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022-11-14T17:07:37Z,hep-lat,Q22,topology,Q22:7,pass,pass,pass,lattice field theory;hep-lat,sampling;normalizing flow,,critical slowing,16,include,domain and sampling-method gates passed,https://arxiv.org/abs/2211.07541,https://arxiv.org/pdf/2211.07541v1,expansion/raw/arxiv/Q22.xml
55,arxiv:2603.12501,2603.12501,Normalizing-flow-based density of states for (1+1)D U(1) lattice gauge theory with a $θ$-term,Simran Singh; Lena Funcke,2026-03-12T22:44:08Z,hep-lat,Q05,normalizing_flow,Q05:5,pass,pass,pass,lattice field theory;lattice gauge;hep-lat,normalizing flow,,,16,include,domain and sampling-method gates passed,https://arxiv.org/abs/2603.12501,https://arxiv.org/pdf/2603.12501v1,raw/arxiv/Q05.xml
56,arxiv:2305.08935,2305.08935,Rejection-free quantum Monte Carlo in continuous time from transition path sampling,Luke Causer; Konstantinos Sfairopoulos; Jamie F. Mair; Juan P. Garrahan,2023-05-15T18:17:07Z,cond-mat.stat-mech,Q16,evaluation,Q16:27,pass,pass,pass,ising model,sampling;monte carlo,trajectory,autocorrelation;exact,15,include,domain and sampling-method gates passed,https://arxiv.org/abs/2305.08935,https://arxiv.org/pdf/2305.08935v2,raw/arxiv/Q16.xml
57,arxiv:2307.04742,2307.04742,Parallel Tempered Metadynamics: Overcoming potential barriers without surfing or tunneling,Timo Eichhorn; Gianluca Fuwa; Christian Hoelbling; Lukas Varnhorst,2023-07-10T17:53:09Z,hep-lat,Q16,evaluation,Q16:24,pass,pass,pass,hep-lat,monte carlo;reweight,,autocorrelation;effective sample;bias;hybrid monte carlo,15,include,domain and sampling-method gates passed,https://arxiv.org/abs/2307.04742,https://arxiv.org/pdf/2307.04742v2,raw/arxiv/Q16.xml
58,arxiv:2308.12355,2308.12355,Renormalizing Diffusion Models,Jordan Cotler; Semon Rezchikov,2023-08-23T18:02:31Z,hep-th,Q10,diffusion,Q10:15,pass,pass,pass,lattice field theory;hep-lat,sampler;diffusion,,,15,include,domain and sampling-method gates passed,https://arxiv.org/abs/2308.12355,https://arxiv.org/pdf/2308.12355v2,raw/arxiv/Q10.xml
59,arxiv:2402.06561,2402.06561,Mitigating topological freezing using out-of-equilibrium simulations,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2024-02-09T17:21:04Z,hep-lat,Q06;Q12;Q22,jarzynski;stochastic_flow;topology,Q06:9;Q12:9;Q22:3,pass,pass,pass,hep-lat,monte carlo;normalizing flow,jarzynski,,15,include,domain and sampling-method gates passed,https://arxiv.org/abs/2402.06561,https://arxiv.org/pdf/2402.06561v2,expansion/raw/arxiv/Q22.xml;raw/arxiv/Q06.xml;raw/arxiv/Q12.xml
60,arxiv:2412.13704,2412.13704,Diffusion models and stochastic quantisation in lattice field theory,Gert Aarts; Lingxiao Wang; Kai Zhou,2024-12-18T10:49:32Z,hep-lat,Q10,diffusion,Q10:6,pass,pass,pass,lattice field theory;hep-lat,generative;diffusion,,,15,include,domain and sampling-method gates passed,https://arxiv.org/abs/2412.13704,https://arxiv.org/pdf/2412.13704v1,raw/arxiv/Q10.xml
61,arxiv:2503.11482,2503.11482,NeuMC -- a package for neural sampling for lattice field theories,Piotr Bialas; Piotr Korcyl; Tomasz Stebel; Dawid Zapolski,2025-03-14T15:07:04Z,hep-lat,Q04;Q05,domain;normalizing_flow,Q04:3;Q05:15,pass,pass,pass,hep-lat,sampling;sampler;normalizing flow,,,15,include,domain and sampling-method gates passed,https://arxiv.org/abs/2503.11482,https://arxiv.org/pdf/2503.11482v1,raw/arxiv/Q04.xml;raw/arxiv/Q05.xml
62,arxiv:2603.14695,2603.14695,Scaling Autoregressive Models for Lattice Thermodynamics,Xiaochen Du; Juno Nam; Sulin Liu; Rafael Gómez-Bombarelli,2026-03-16T01:03:59Z,cond-mat.stat-mech,Q11,critical_slowing,Q11:9,pass,pass,pass,ising model,sampling;monte carlo;generative,,critical slowing,15,include,domain and sampling-method gates passed,https://arxiv.org/abs/2603.14695,https://arxiv.org/pdf/2603.14695v1,raw/arxiv/Q11.xml
63,arxiv:2604.01287,2604.01287,Enhanced Sampling Techniques for Lattice Gauge Theory,Timo Eichhorn; Gianluca Fuwa; Christian Hoelbling; Lukas Varnhorst,2026-04-01T18:01:00Z,hep-lat,Q16,evaluation,Q16:5,pass,pass,pass,lattice gauge;hep-lat,sampling,,autocorrelation;bias;hmc,15,include,domain and sampling-method gates passed,https://arxiv.org/abs/2604.01287,https://arxiv.org/pdf/2604.01287v1,raw/arxiv/Q16.xml
64,arxiv:0702044,0702044,Temperature-extended Jarzynski relation: Application to the numerical calculation of the surface tension,Christophe Chatelain,2007-02-02T11:06:31Z,cond-mat.stat-mech,Q12,jarzynski,Q12:29,pass,pass,pass,hep-lat;ising model,monte carlo,jarzynski,,14,include,domain and sampling-method gates passed,https://arxiv.org/abs/0702044,https://arxiv.org/pdf/0702044v2,raw/arxiv/Q12.xml
65,arxiv:2108.13444,2108.13444,Calculation of the running coupling in non-Abelian gauge theories from Jarzynski's equality,Olmo Francesconi; Marco Panero; David Preti,2021-08-30T18:01:48Z,hep-lat,Q12,jarzynski,Q12:16,pass,pass,pass,hep-lat,monte carlo,schrödinger;non-equilibrium;jarzynski,,14,include,domain and sampling-method gates passed,https://arxiv.org/abs/2108.13444,https://arxiv.org/pdf/2108.13444v1,raw/arxiv/Q12.xml
66,arxiv:2410.21212,2410.21212,On learning higher-order cumulants in diffusion models,Gert Aarts; Diaa E. Habibi; Lingxiao Wang; Kai Zhou,2024-10-28T16:57:02Z,hep-lat,Q10,diffusion,Q10:8,pass,pass,pass,lattice field theory;hep-lat,diffusion,,exact;variance,14,include,domain and sampling-method gates passed,https://arxiv.org/abs/2410.21212,https://arxiv.org/pdf/2410.21212v2,raw/arxiv/Q10.xml
67,arxiv:2412.01919,2412.01919,Diffusion models learn distributions generated by complex Langevin dynamics,Diaa E. Habibi; Gert Aarts; Lingxiao Wang; Kai Zhou,2024-12-02T19:07:14Z,hep-lat,Q10,diffusion,Q10:7,pass,pass,pass,hep-lat,generative;diffusion;langevin,,,14,include,domain and sampling-method gates passed,https://arxiv.org/abs/2412.01919,https://arxiv.org/pdf/2412.01919v1,raw/arxiv/Q10.xml
68,arxiv:2502.00263,2502.00263,Progress in Normalizing Flows for 4d Gauge Theories,Ryan Abbott; Denis Boyda; Daniel C. Hackett; Gurtej Kanwar; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2025-02-01T01:43:58Z,hep-lat,Q05,normalizing_flow,Q05:16,pass,pass,pass,hep-lat,sampling;monte carlo;normalizing flow,,,14,include,domain and sampling-method gates passed,https://arxiv.org/abs/2502.00263,https://arxiv.org/pdf/2502.00263v1,raw/arxiv/Q05.xml
69,arxiv:2603.02984,2603.02984,Variance reduction in lattice QCD observables via normalizing flows,Ryan Abbott; Denis Boyda; Yang Fu; Daniel C. Hackett; Gurtej Kanwar; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2026-03-03T13:36:29Z,hep-lat,Q05,normalizing_flow,Q05:6,pass,pass,pass,lattice field theory;hep-lat,normalizing flow,,bias;variance,14,include,domain and sampling-method gates passed,https://arxiv.org/abs/2603.02984,https://arxiv.org/pdf/2603.02984v1,raw/arxiv/Q05.xml
70,arxiv:2505.07719,2505.07719,Training neural control variates using correlated configurations,Hyunwoo Oh,2025-05-12T16:25:00Z,hep-lat,Q16,evaluation,Q16:14,pass,pass,pass,hep-lat,monte carlo;mcmc,,bias;variance,13,include,domain and sampling-method gates passed,https://arxiv.org/abs/2505.07719,https://arxiv.org/pdf/2505.07719v4,raw/arxiv/Q16.xml
71,arxiv:2605.11199,2605.11199,Operator Spectroscopy of Trained Lattice Samplers,Moxian Qian,2026-05-11T20:06:15Z,hep-lat,P09,author_context,P09:1,pass,pass,pass,hep-lat,sampler;diffusion,,exact;variance,13,include,domain and sampling-method gates passed,https://arxiv.org/abs/2605.11199,https://arxiv.org/pdf/2605.11199v1,raw/arxiv/P09.xml
72,arxiv:2202.03054,2202.03054,Heavy quarks at finite temperature,Johannes Heinrich Weber,2022-02-07T10:46:03Z,hep-lat,Q10,diffusion,Q10:18,pass,pass,pass,lattice gauge;hep-lat,diffusion,,,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2202.03054,https://arxiv.org/pdf/2202.03054v1,raw/arxiv/Q10.xml
73,arxiv:2206.14676,2206.14676,Spectral and transport properties from lattice QCD,Olaf Kaczmarek; Hai-Tao Shu,2022-06-29T14:29:15Z,hep-lat,Q10,diffusion,Q10:17,pass,pass,pass,lattice field theory;hep-lat,diffusion,,,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2206.14676,https://arxiv.org/pdf/2206.14676v1,raw/arxiv/Q10.xml
74,arxiv:2208.03832,2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,Ryan Abbott; Michael S. Albergo; Aleksandar Botev; Denis Boyda; Kyle Cranmer; Daniel C. Hackett; Gurtej Kanwar; Alexander G. D. G. Matthews; Sébastien Racanière; Ali Razavi; Danilo J. Rezende; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2022-08-07T22:16:20Z,hep-lat,Q22,topology,Q22:8,pass,pass,pass,hep-lat,sampling;normalizing flow,,critical slowing,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2208.03832,https://arxiv.org/pdf/2208.03832v2,expansion/raw/arxiv/Q22.xml
75,arxiv:2404.11674,2404.11674,Practical applications of machine-learned flows on gauge fields,Ryan Abbott; Michael S. Albergo; Denis Boyda; Daniel C. Hackett; Gurtej Kanwar; Fernando Romero-López; Phiala E. Shanahan; Julian M. Urban,2024-04-17T18:17:14Z,hep-lat,Q05,normalizing_flow,Q05:23,pass,pass,pass,hep-lat,sampling;normalizing flow,,exact,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2404.11674,https://arxiv.org/pdf/2404.11674v1,raw/arxiv/Q05.xml
76,arxiv:2410.13161,2410.13161,Non-Perturbative Trivializing Flows for Lattice Gauge Theories,Mathis Gerdes; Pim de Haan; Roberto Bondesan; Miranda C. N. Cheng,2024-10-17T02:30:44Z,hep-lat,Q05,normalizing_flow,Q05:20,pass,pass,pass,lattice gauge;hep-lat,normalizing flow,,,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2410.13161,https://arxiv.org/pdf/2410.13161v2,raw/arxiv/Q05.xml
77,arxiv:2505.08236,2505.08236,Critical dynamics of three-dimensional $Z_N$ gauge models and the inverted XY universality class,Claudio Bonati; Haralambos Panagopoulos; Ettore Vicari,2025-05-13T05:29:59Z,cond-mat.stat-mech,Q11,critical_slowing,Q11:25,pass,pass,pass,hep-lat,monte carlo;metropolis,,critical slowing,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2505.08236,https://arxiv.org/pdf/2505.08236v1,raw/arxiv/Q11.xml
78,arxiv:2507.13503,2507.13503,Generalized cluster algorithms for Potts lattice gauge theory,Anthony E. Pizzimenti; Paul Duncan; Benjamin Schweinhart,2025-07-17T19:19:15Z,cond-mat.stat-mech,Q16,evaluation,Q16:13,pass,pass,pass,lattice gauge,sampling;monte carlo,,autocorrelation,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2507.13503,https://arxiv.org/pdf/2507.13503v2,raw/arxiv/Q16.xml
79,arxiv:2601.10774,2601.10774,Analytic Bijections for Smooth and Interpretable Normalizing Flows,Mathis Gerdes; Miranda C. N. Cheng,2026-01-15T16:09:02Z,cs.LG,Q05,normalizing_flow,Q05:9,pass,pass,pass,lattice field theory;hep-lat,normalizing flow,,,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2601.10774,https://arxiv.org/pdf/2601.10774v2,raw/arxiv/Q05.xml
80,arxiv:2602.08502,2602.08502,Preserving Hamiltonian Locality in Real-Space Coarse-Graining via Kernel Projection,Sun Haoyuan,2026-02-09T10:53:54Z,cond-mat.stat-mech,Q11,critical_slowing,Q11:13,pass,pass,pass,ising model,monte carlo;generative,,critical slowing,12,include,domain and sampling-method gates passed,https://arxiv.org/abs/2602.08502,https://arxiv.org/pdf/2602.08502v2,raw/arxiv/Q11.xml
81,arxiv:1211.2418,1211.2418,An estimate of heavy quark momentum diffusion coefficient in gluon plasma,Debasish Banerjee; Saumen Datta; Rajiv V. Gavai; Pushan Majumdar,2012-11-11T13:17:41Z,hep-lat,Q10,diffusion,Q10:28,pass,pass,pass,hep-lat,monte carlo;diffusion,,,11,include,domain and sampling-method gates passed,https://arxiv.org/abs/1211.2418,https://arxiv.org/pdf/1211.2418v1,raw/arxiv/Q10.xml
82,arxiv:1711.01592,1711.01592,Local multiboson factorization of the quark determinant,Marco Cè; Leonardo Giusti; Stefan Schaefer,2017-11-05T14:06:52Z,hep-lat,Q23,multiscale,Q23:11,pass,pass,pass,hep-lat,sampling;monte carlo,,,11,include,domain and sampling-method gates passed,https://arxiv.org/abs/1711.01592,https://arxiv.org/pdf/1711.01592v1,expansion/raw/arxiv/Q23.xml
83,arxiv:2201.12001,2201.12001,Complex Langevin simulations for $PT$-symmetric models,Arpith Kumar; Anosh Joseph,2022-01-28T09:26:28Z,hep-lat,Q21,stochastic_quantization,Q21:4,pass,pass,pass,hep-lat,monte carlo;langevin,,,11,include,domain and sampling-method gates passed,https://arxiv.org/abs/2201.12001,https://arxiv.org/pdf/2201.12001v1,expansion/raw/arxiv/Q21.xml
84,arxiv:2308.13294,2308.13294,Training normalizing flows with computationally intensive target probability distributions,Piotr Bialas; Piotr Korcyl; Tomasz Stebel,2023-08-25T10:40:46Z,cs.LG,Q05,normalizing_flow,Q05:28,pass,pass,pass,hep-lat,monte carlo;normalizing flow,,,11,include,domain and sampling-method gates passed,https://arxiv.org/abs/2308.13294,https://arxiv.org/pdf/2308.13294v2,raw/arxiv/Q05.xml
85,arxiv:2504.17747,2504.17747,Fourier Acceleration in a Linear Sigma Model with Spontaneous Symmetry Breaking,Cameron Cianci; Luchang Jin; Joshua Swaim,2025-04-24T17:07:44Z,hep-lat,Q11,critical_slowing,Q11:26,pass,pass,pass,hep-lat,monte carlo,,critical slowing;autocorrelation;hybrid monte carlo,11,include,domain and sampling-method gates passed,https://arxiv.org/abs/2504.17747,https://arxiv.org/pdf/2504.17747v1,raw/arxiv/Q11.xml
86,arxiv:1311.4386,1311.4386,Lattice Monte Carlo methods for systems far from equilibrium,David Mesterházy; Luca Biferale; Karl Jansen; Raffaele Tripiccione,2013-11-18T14:12:20Z,hep-lat,Q07,nonequilibrium,Q07:3,pass,pass,pass,hep-lat,monte carlo,nonequilibrium,,10,include,domain and sampling-method gates passed,https://arxiv.org/abs/1311.4386,https://arxiv.org/pdf/1311.4386v1,raw/arxiv/Q07.xml
87,arxiv:1609.02157,1609.02157,Out-of-equilibrium protocol for Rényi entropies via the Jarzynski equality,Vincenzo Alba,2016-09-07T20:00:05Z,cond-mat.str-el,Q12,jarzynski,Q12:22,pass,pass,pass,hep-lat,monte carlo,jarzynski,,10,include,domain and sampling-method gates passed,https://arxiv.org/abs/1609.02157,https://arxiv.org/pdf/1609.02157v2,raw/arxiv/Q12.xml
88,arxiv:2411.00620,2411.00620,Topological susceptibility of $\mathrm{SU}(3)$ pure-gauge theory from out-of-equilibrium simulations,Claudio Bonanno; Alessandro Nada; Davide Vadacchino,2024-11-01T14:26:38Z,hep-lat,Q12,jarzynski,Q12:4,pass,pass,pass,hep-lat,reweight,jarzynski,,10,include,domain and sampling-method gates passed,https://arxiv.org/abs/2411.00620,https://arxiv.org/pdf/2411.00620v2,raw/arxiv/Q12.xml
89,arxiv:2503.09747,2503.09747,Parallel Tempered Metadynamics,Timo Eichhorn; Gianluca Fuwa; Christian Hoelbling; Lukas Varnhorst,2025-03-12T18:45:48Z,hep-lat,Q11,critical_slowing,Q11:27,pass,pass,pass,hep-lat,reweight,,critical slowing;autocorrelation,10,include,domain and sampling-method gates passed,https://arxiv.org/abs/2503.09747,https://arxiv.org/pdf/2503.09747v2,raw/arxiv/Q11.xml
90,arxiv:1109.3941,1109.3941,Towards a non-perturbative measurement of the heavy quark momentum diffusion coefficient,A. Francis; O. Kaczmarek; M. Laine; J. Langelage,2011-09-19T04:39:34Z,hep-lat,Q10;Q23,diffusion;multiscale,Q10:29;Q23:16,pass,pass,pass,hep-lat,diffusion,,,9,include,domain and sampling-method gates passed,https://arxiv.org/abs/1109.3941,https://arxiv.org/pdf/1109.3941v1,expansion/raw/arxiv/Q23.xml;raw/arxiv/Q10.xml
91,arxiv:1912.00689,1912.00689,Heavy quark momentum diffusion coefficient from the lattice,Nora Brambilla; Viljami Leino; Peter Petreczky; Antonio vairo,2019-12-02T11:31:36Z,hep-lat,Q10;Q23,diffusion;multiscale,Q10:22;Q23:9,pass,pass,pass,hep-lat,diffusion,,,9,include,domain and sampling-method gates passed,https://arxiv.org/abs/1912.00689,https://arxiv.org/pdf/1912.00689v2,expansion/raw/arxiv/Q23.xml;raw/arxiv/Q10.xml
92,arxiv:2307.15674,2307.15674,Exploiting stochastic locality in lattice QCD: hadronic observables and their uncertainties,Mattia Bruno; Marco Cè; Anthony Francis; Patrick Fritzsch; Jeremy R. Green; Maxwell T. Hansen; Antonio Rago,2023-07-28T17:06:23Z,hep-lat,Q16,evaluation,Q16:23,pass,pass,pass,hep-lat,monte carlo,,variance,9,include,domain and sampling-method gates passed,https://arxiv.org/abs/2307.15674,https://arxiv.org/pdf/2307.15674v2,raw/arxiv/Q16.xml
93,arxiv:2312.11599,2312.11599,Topological charge unfreezing with AMReX,Dean Howarth; Adam J Peterson,2023-12-18T18:24:49Z,hep-lat,Q16,evaluation,Q16:20,pass,pass,pass,hep-lat,sampling,,autocorrelation,9,include,domain and sampling-method gates passed,https://arxiv.org/abs/2312.11599,https://arxiv.org/pdf/2312.11599v1,raw/arxiv/Q16.xml
94,arxiv:2402.00016,2402.00016,Multipolynomial Monte Carlo Trace Estimation,Paul Lashomb; Ronald B. Morgan; Travis Whyte; Walter Wilcox,2023-12-28T19:18:32Z,hep-lat,Q23,multiscale,Q23:3,pass,pass,pass,hep-lat,monte carlo,,variance,9,include,domain and sampling-method gates passed,https://arxiv.org/abs/2402.00016,https://arxiv.org/pdf/2402.00016v1,expansion/raw/arxiv/Q23.xml
95,arxiv:2607.11631,2607.11631,Markov Chain Monte Carlo with Diffusion Paths,Han Chen; Sifan Liu; Jun Yang,2026-07-13T14:48:19Z,stat.CO,Q08,path_space,Q08:2,pass,pass,pass,,sampling;sampler;monte carlo;mcmc;diffusion;metropolis,path space,acceptance;bias,23,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2607.11631,https://arxiv.org/pdf/2607.11631v1,raw/arxiv/Q08.xml
96,arxiv:2603.12299,2603.12299,Regenerative Rejection Sampling,Tommaso Bozzi,2026-03-12T04:21:32Z,stat.CO,Q17,correction,Q17:5,pass,pass,pass,,sampling;sampler;monte carlo;mcmc;generative;metropolis,,autocorrelation;bias,21,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2603.12299,https://arxiv.org/pdf/2603.12299v2,raw/arxiv/Q17.xml
97,arxiv:2302.13834,2302.13834,Denoising Diffusion Samplers,Francisco Vargas; Will Grathwohl; Arnaud Doucet,2023-02-27T14:37:16Z,cs.LG,P12,adjacent_hypothesis,P12:1,pass,pass,pass,,sampling;sampler;monte carlo;generative;diffusion,schrödinger,,18,candidate,identifier probe passed; method adjacency needs full-text review,https://arxiv.org/abs/2302.13834,https://arxiv.org/pdf/2302.13834v2,raw/arxiv/P12.xml
98,arxiv:2606.12710,2606.12710,A Stabilized Path-Space Approach to Diffusion-Based Posterior Sampling,Evan Scope Crafts; Umberto Villa; Saviz Mowlavi; Yanting Ma; Hassan Mansour; Wael H. Ali,2026-06-10T21:55:55Z,cs.LG,Q08,path_space,Q08:7,pass,pass,pass,,sampling;sampler;diffusion;importance sampling,path-space,exact;bias;variance,18,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2606.12710,https://arxiv.org/pdf/2606.12710v1,raw/arxiv/Q08.xml
99,arxiv:2306.03521,2306.03521,Machine learning in and out of equilibrium,Shishir Adhikari; Alkan Kabakçıoğlu; Alexander Strang; Deniz Yuret; Michael Hinczewski,2023-06-06T09:12:49Z,cs.LG,Q09,entropy_production,Q09:26,pass,pass,pass,,sampling;diffusion;langevin,nonequilibrium;entropy production;trajectory,exact,17,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2306.03521,https://arxiv.org/pdf/2306.03521v1,raw/arxiv/Q09.xml
100,arxiv:2307.16035,2307.16035,Binary classification based Monte Carlo simulation,Elouan Argouarc'h; François Desbouvries,2023-07-29T17:53:31Z,stat.ME,Q17,correction,Q17:14,pass,pass,pass,,sampling;sampler;monte carlo;importance sampling;metropolis,,acceptance,17,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2307.16035,https://arxiv.org/pdf/2307.16035v2,raw/arxiv/Q17.xml
101,arxiv:2403.01717,2403.01717,Soft-constrained Schrodinger Bridge: a Stochastic Control Approach,Jhanvi Garg; Xianyang Zhang; Quan Zhou,2024-03-04T04:10:24Z,stat.ML,Q18,adjacent,Q18:7,pass,pass,pass,,sampling;generative;diffusion,stochastic control;schrödinger;schrodinger,,16,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2403.01717,https://arxiv.org/pdf/2403.01717v2,raw/arxiv/Q18.xml
102,arxiv:2111.15141,2111.15141,Path Integral Sampler: a stochastic control approach for sampling,Qinsheng Zhang; Yongxin Chen,2021-11-30T05:50:12Z,cs.LG,P02,root_reference_hypothesis,P02:1,pass,pass,pass,,sampling;sampler;diffusion,stochastic control;schrödinger,bias,15,candidate,identifier probe passed; method adjacency needs full-text review,https://arxiv.org/abs/2111.15141,https://arxiv.org/pdf/2111.15141v2,raw/arxiv/P02.xml
103,arxiv:2211.01364,2211.01364,An optimal control perspective on diffusion-based generative modeling,Julius Berner; Lorenz Richter; Karen Ullrich,2022-11-02T17:59:09Z,cs.LG,P11,adjacent_hypothesis,P11:1,pass,pass,pass,,sampling;sampler;generative;diffusion,path space,,15,candidate,identifier probe passed; method adjacency needs full-text review,https://arxiv.org/abs/2211.01364,https://arxiv.org/pdf/2211.01364v3,raw/arxiv/P11.xml
104,arxiv:2604.07762,2604.07762,Generative optimal transport via forward-backward HJB matching,Haiqian Yang; Vishaal Krishnan; Sumit Sinha; L. Mahadevan,2026-04-09T03:31:25Z,cond-mat.stat-mech,Q08,path_space,Q08:18,pass,pass,pass,,generative;diffusion,path-space;stochastic control;schrödinger;non-equilibrium,,15,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2604.07762,https://arxiv.org/pdf/2604.07762v1,raw/arxiv/Q08.xml
105,arxiv:2605.06829,2605.06829,"A Unified Measure-Theoretic View of Diffusion, Score-Based, and Flow Matching Generative Models",Aditya Ranganath; Mukesh Singhal,2026-05-07T18:32:15Z,cs.LG,Q18,adjacent,Q18:1,pass,pass,pass,,sampling;normalizing flow;generative;diffusion,schrodinger,,15,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.06829,https://arxiv.org/pdf/2605.06829v1,raw/arxiv/Q18.xml
106,arxiv:2605.23434,2605.23434,Onsager-Machlup Posterior Transport for Deep Gaussian Processes,Jian Xu; Delu Zeng; John Paisley; Qibin Zhao,2026-05-22T09:45:52Z,cs.LG,Q08,path_space,Q08:10,pass,pass,pass,,sampler;mcmc;diffusion,path-space,exact;variance;hmc,15,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2605.23434,https://arxiv.org/pdf/2605.23434v2,raw/arxiv/Q08.xml
107,arxiv:2606.17252,2606.17252,Stochastic Thermodynamics of Score Matching in Diffusion Models,Xuehao Ding; H. T. Quan; Yuhai Tu,2026-06-15T19:54:50Z,cond-mat.dis-nn,Q09,entropy_production,Q09:1,pass,pass,pass,,sampling;generative;diffusion,entropy production;trajectory,exact,15,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2606.17252,https://arxiv.org/pdf/2606.17252v1,raw/arxiv/Q09.xml
108,arxiv:2607.08757,2607.08757,Score Accuracy Along the Forward Diffusion Does Not Certify Numerical Stability in Diffusion Sampling,Yiwei Zhou,2026-07-09T17:55:52Z,stat.ML,Q08,path_space,Q08:3,pass,pass,pass,,sampling;sampler;diffusion,path-space;trajectory,exact,15,candidate,general method adjacency; not yet domain-specific evidence,https://arxiv.org/abs/2607.08757,https://arxiv.org/pdf/2607.08757v1,raw/arxiv/Q08.xml
