ref_no,bibkey,authors,year,title,venue,doi,arxiv_id,url,citation_line,root_context,screening_decision,facet,screening_reason,primary_source_status,full_text_status,notes
34,vargas2023denoisingdiffusionsamplers,"Vargas, Francisco and Grathwohl, Will and Doucet, Arnaud",2023,Denoising Diffusion Samplers,International Conference on Learning Representations (ICLR),,2302.13834,,86,"In the broader machine-learning literature, data-free diffusion-based samplers that minimize a path-space Kullback-Leibler objective closely related to the one employed in this work have been developed, including the Path Integral Sampler \cite{zhang2022pathintegralsamplerstochastic}, Denoising Diffusion Samplers \cite{vargas2023denoisingdiffusionsamplers}, optimal-control formulations of diffusion-based generative modeling \cite{berner2024optimalcontrolperspectivediffusionbased,richter2024improvedsamplinglearneddiffusions}, Controlled Monte Carlo Diffusions \cite{vargas2025transportmeetsvariationalinference}, which, like the present work, learn both the forward and the backward drifts, and non-equilibrium transport samplers \cite{Albergo:2024trn}. The present work can be viewed as a stochastic-quantization-inspired adaptation of this family of path-space variational samplers to lattice field theory, with exactness restored by a trajectory-level Independence Metropolis--Hastings correction.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
35,berner2024optimalcontrolperspectivediffusionbased,"Berner, Julius and Richter, Lorenz and Ullrich, Karen",2024,An optimal control perspective on diffusion-based generative modeling,Transactions on Machine Learning Research,,2211.01364,,86,"In the broader machine-learning literature, data-free diffusion-based samplers that minimize a path-space Kullback-Leibler objective closely related to the one employed in this work have been developed, including the Path Integral Sampler \cite{zhang2022pathintegralsamplerstochastic}, Denoising Diffusion Samplers \cite{vargas2023denoisingdiffusionsamplers}, optimal-control formulations of diffusion-based generative modeling \cite{berner2024optimalcontrolperspectivediffusionbased,richter2024improvedsamplinglearneddiffusions}, Controlled Monte Carlo Diffusions \cite{vargas2025transportmeetsvariationalinference}, which, like the present work, learn both the forward and the backward drifts, and non-equilibrium transport samplers \cite{Albergo:2024trn}. The present work can be viewed as a stochastic-quantization-inspired adaptation of this family of path-space variational samplers to lattice field theory, with exactness restored by a trajectory-level Independence Metropolis--Hastings correction.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
36,richter2024improvedsamplinglearneddiffusions,"Richter, Lorenz and Berner, Julius",2024,Improved sampling via learned diffusions,International Conference on Learning Representations (ICLR),,2307.01198,,86,"In the broader machine-learning literature, data-free diffusion-based samplers that minimize a path-space Kullback-Leibler objective closely related to the one employed in this work have been developed, including the Path Integral Sampler \cite{zhang2022pathintegralsamplerstochastic}, Denoising Diffusion Samplers \cite{vargas2023denoisingdiffusionsamplers}, optimal-control formulations of diffusion-based generative modeling \cite{berner2024optimalcontrolperspectivediffusionbased,richter2024improvedsamplinglearneddiffusions}, Controlled Monte Carlo Diffusions \cite{vargas2025transportmeetsvariationalinference}, which, like the present work, learn both the forward and the backward drifts, and non-equilibrium transport samplers \cite{Albergo:2024trn}. The present work can be viewed as a stochastic-quantization-inspired adaptation of this family of path-space variational samplers to lattice field theory, with exactness restored by a trajectory-level Independence Metropolis--Hastings correction.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
37,vargas2025transportmeetsvariationalinference,"Vargas, Francisco and Padhy, Shreyas and Blessing, Denis and N\""usken, Nikolas",2024,Transport meets Variational Inference: Controlled Monte Carlo Diffusions,International Conference on Learning Representations (ICLR),,2307.01050,,86,"In the broader machine-learning literature, data-free diffusion-based samplers that minimize a path-space Kullback-Leibler objective closely related to the one employed in this work have been developed, including the Path Integral Sampler \cite{zhang2022pathintegralsamplerstochastic}, Denoising Diffusion Samplers \cite{vargas2023denoisingdiffusionsamplers}, optimal-control formulations of diffusion-based generative modeling \cite{berner2024optimalcontrolperspectivediffusionbased,richter2024improvedsamplinglearneddiffusions}, Controlled Monte Carlo Diffusions \cite{vargas2025transportmeetsvariationalinference}, which, like the present work, learn both the forward and the backward drifts, and non-equilibrium transport samplers \cite{Albergo:2024trn}. The present work can be viewed as a stochastic-quantization-inspired adaptation of this family of path-space variational samplers to lattice field theory, with exactness restored by a trajectory-level Independence Metropolis--Hastings correction.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
38,Albergo:2024trn,"Albergo, Michael S. and Vanden-Eijnden, Eric",2024,NETS: A Non-Equilibrium Transport Sampler,,,2410.02711,,86,"In the broader machine-learning literature, data-free diffusion-based samplers that minimize a path-space Kullback-Leibler objective closely related to the one employed in this work have been developed, including the Path Integral Sampler \cite{zhang2022pathintegralsamplerstochastic}, Denoising Diffusion Samplers \cite{vargas2023denoisingdiffusionsamplers}, optimal-control formulations of diffusion-based generative modeling \cite{berner2024optimalcontrolperspectivediffusionbased,richter2024improvedsamplinglearneddiffusions}, Controlled Monte Carlo Diffusions \cite{vargas2025transportmeetsvariationalinference}, which, like the present work, learn both the forward and the backward drifts, and non-equilibrium transport samplers \cite{Albergo:2024trn}. The present work can be viewed as a stochastic-quantization-inspired adaptation of this family of path-space variational samplers to lattice field theory, with exactness restored by a trajectory-level Independence Metropolis--Hastings correction.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
39,ColemanNoll1963,"Coleman, Bernard D. and Noll, Walter",1963,The Thermodynamics of Elastic Materials with Heat Conduction and Viscosity,Archive for Rational Mechanics and Analysis,10.1007/BF01262690,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
40,Kleidon2010,"Kleidon, Axel",2010,Maximum Entropy Production in Environmental and Ecological Systems,Philosophical Transactions of the Royal Society B,10.1098/rstb.2010.0018,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
41,Dyke2010,"Dyke, James and Kleidon, Axel",2010,The Maximum Entropy Production Principle: Its Theoretical Foundations and Applications to the Earth System,Entropy,10.3390/e12030613,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
42,Skinner2021,"Skinner, Dominic J. and Dunkel, J\""orn",2021,Improved Bounds on Entropy Production in Living Systems,Proceedings of the National Academy of Sciences,10.1073/pnas.2024300118,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
43,Karbowski2024,"Karbowski, Jan",2024,Information Thermodynamics: From Physics to Neuroscience,Entropy,10.3390/e26090761,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
44,Jakimowicz2020,"Jakimowicz, Aleksander",2020,The Role of Entropy in the Development of Economics,Entropy,10.3390/e22040452,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
45,Purvis2019,"Purvis, Benjamin and Mao, Yong and Robinson, Darren",2019,Entropy and Its Application to Urban Systems,Entropy,10.3390/e21010056,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
46,Landauer1961,"Landauer, R.",1961,Irreversibility and Heat Generation in the Computing Process,IBM Journal of Research and Development,10.1147/rd.53.0183,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
47,SagawaUeda2008,"Sagawa, Takahiro and Ueda, Masahito",2008,Second Law of Thermodynamics with Discrete Quantum Feedback Control,Physical Review Letters,10.1103/PhysRevLett.100.080403,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
48,Parrondo2015,"Parrondo, Juan M. R. and Horowitz, Jordan M. and Sagawa, Takahiro",2015,Thermodynamics of Information,Nature Physics,10.1038/nphys3230,,,88,"The Clausius inequality is one of the fundamental formulations of the second law of thermodynamics. It states that irreversible processes are accompanied by nonnegative entropy production, while equality is reached only in the reversible limit. Beyond its original thermodynamic context, this principle has become a general framework for characterizing irreversibility, dissipation, and the directionality of nonequilibrium processes. Its applications range from materials science \cite{ColemanNoll1963}, ecological systems \cite{Kleidon2010,Dyke2010}, biological physics and neuroscience \cite{Skinner2021,Karbowski2024}, economics and urban systems \cite{Jakimowicz2020,Purvis2019}, to information theory \cite{Landauer1961,SagawaUeda2008,Parrondo2015}. For sampling problems, the Clausius inequality admits a particularly useful path-space interpretation. The entropy production can be viewed as a measure of the discrepancy between forward and backward trajectory distributions. Minimizing this discrepancy therefore provides a variational route to suppress irreversibility and to construct stochastic dynamics that transports a simple prior distribution toward a target Boltzmann distribution more efficiently.",include_context,cross_domain_entropy_context,Individually screened cross-domain Clausius/entropy-production context; not a direct sampler or LFT mechanism.,metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
49,Parisi:1980ys,"Parisi, G. and Wu, Yong-shi",1981,Perturbation Theory Without Gauge Fixing,Sci. Sin.,,,,91,"In this paper, we propose the Stochastic Path Sampler (SPS), a neural sampler inspired by nonequilibrium thermodynamics and stochastic quantization \cite{Parisi:1980ys,Damgaard:1987rr}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
50,Damgaard:1987rr,"Damgaard, Poul H. and Huffel, Helmuth",1987,Stochastic Quantization,Phys. Rept.,10.1016/0370-1573(87)90144-X,,,91,"In this paper, we propose the Stochastic Path Sampler (SPS), a neural sampler inspired by nonequilibrium thermodynamics and stochastic quantization \cite{Parisi:1980ys,Damgaard:1987rr}.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
51,bengio2021gflownet,"Bengio, Emmanuel and Jain, Moksh and Korablyov, Maksym and Precup, Doina and Bengio, Yoshua",2021,Flow Network based Generative Models for Non‐Iterative Diverse Candidate Generation,Advances in Neural Information Processing Systems,,,https://papers.nips.cc/paper/2021/hash/e614f646836aaed9f89ce58e837e2310-Abstract.html,112,"The core objective of this work is to achieve reversibility under the forward and backward path measures. Specifically, our goal is to establish time-reversal symmetry (Trajectory Level Balance \cite{bengio2021gflownet,bengio2023gfnfoundations, malkin2022trajectory}). This means we need to adjust the dynamics to minimize the irreversibility between the forward and backward processes, forcing the ratio of the two path measures to approach a constant (corresponding to the free energy difference) over the entire trajectory space. By achieving this global trajectory balance, we can ensure that the samples generated by the forward process strictly follow $\pi^*$.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
52,bengio2023gfnfoundations,Yoshua Bengio and Salem Lahlou and Tristan Deleu and Edward J. Hu and Mo Tiwari and Emmanuel Bengio,2023,GFlowNet Foundations,Journal of Machine Learning Research,,,https://jmlr.org/papers/volume24/22-0364/22-0364.pdf,112,"The core objective of this work is to achieve reversibility under the forward and backward path measures. Specifically, our goal is to establish time-reversal symmetry (Trajectory Level Balance \cite{bengio2021gflownet,bengio2023gfnfoundations, malkin2022trajectory}). This means we need to adjust the dynamics to minimize the irreversibility between the forward and backward processes, forcing the ratio of the two path measures to approach a constant (corresponding to the free energy difference) over the entire trajectory space. By achieving this global trajectory balance, we can ensure that the samples generated by the forward process strictly follow $\pi^*$.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
53,malkin2022trajectory,"Malkin, Nikolay and Jain, Moksh and Bengio, Emmanuel and Sun, Chen and Bengio, Yoshua",2022,Trajectory balance: Improved credit assignment in GFlowNets,Advances in Neural Information Processing Systems,,,https://proceedings.neurips.cc/paper\_files/paper/2022/file/27b51baca8377a0cf109f6ecc15a0f70-Paper-Conference.pdf,112,"The core objective of this work is to achieve reversibility under the forward and backward path measures. Specifically, our goal is to establish time-reversal symmetry (Trajectory Level Balance \cite{bengio2021gflownet,bengio2023gfnfoundations, malkin2022trajectory}). This means we need to adjust the dynamics to minimize the irreversibility between the forward and backward processes, forcing the ratio of the two path measures to approach a constant (corresponding to the free energy difference) over the entire trajectory space. By achieving this global trajectory balance, we can ensure that the samples generated by the forward process strictly follow $\pi^*$.",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
54,Pachter2024,"Pachter, Jonathan Asher and Yang, Ying-Jen and Dill, Ken A.",2024,"Entropy, irreversibility and inference at the foundations of statistical physics",Nature Reviews Physics,10.1038/s42254-024-00720-5,,,155,"The Clausius inequality provides a mathematical formulation of the Second Law of Thermodynamics. It states that, for a cyclic transformation, the integral of the infinitesimal heat exchanged with the environment divided by temperature is always nonnegative, and vanishes only for a reversible cyclic process \cite{Pachter2024}. This inequality establishes the thermodynamic notion that irreversibility can be quantified by a nonnegative entropy-production term. In the present work, we adopt its stochastic-thermodynamic counterpart, namely entropy production on path space.",include_context,thermodynamic_foundation,"Foundational path-entropy, nonequilibrium, or information-theoretic context.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
55,roberts1998optimal,"Roberts, Gareth O and Rosenthal, Jeffrey S",1998,Optimal scaling of discrete approximations to Langevin diffusions,Journal of the Royal Statistical Society: Series B (Statistical Methodology),,,,193,"The corresponding forward transition kernel is denoted as $q_\mathrm{F}(\bm{s}_{i+1} | \bm{s}_i)$. In the Metropolis-Adjusted Langevin Algorithm (MALA) \cite{roberts1998optimal,girolami2011riemann} and in stochastic quantisation \cite{Parisi:1980ys,Damgaard:1987rr}, the drift term $\bm{K}_{\theta,\mathrm{F}}(\bm{s},t_{i})$ is taken as the gradient of the action,",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
56,girolami2011riemann,"Girolami, Mark and Calderhead, Ben",2011,Riemann manifold Langevin and Hamiltonian Monte Carlo methods,Journal of the Royal Statistical Society: Series B (Statistical Methodology),10.1111/j.1467-9868.2010.00765.x,,,193,"The corresponding forward transition kernel is denoted as $q_\mathrm{F}(\bm{s}_{i+1} | \bm{s}_i)$. In the Metropolis-Adjusted Langevin Algorithm (MALA) \cite{roberts1998optimal,girolami2011riemann} and in stochastic quantisation \cite{Parisi:1980ys,Damgaard:1987rr}, the drift term $\bm{K}_{\theta,\mathrm{F}}(\bm{s},t_{i})$ is taken as the gradient of the action,",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
57,kullback1951information,"Kullback, Solomon and Leibler, Richard A.",1951,On Information and Sufficiency,Ann. Math. Statist.,10.1214/aoms/1177729694,,,251,"which is the Kullback-Leibler (KL) divergence \cite{kullback1951information} on path space. The KL divergence can be optimized by adjusting the learnable drifts $\bm{K}_{\theta,\mathrm{F/B}}$ and the diffusion coefficient $\sigma_\theta$. When the normalization factor for $\pi^\ast$ is intractable, we adopt the unnormalized distribution $\tilde{\pi}^*$ and the unnormalized backward path measure, and use the KL divergence between the forward and unnormalized backward path measure,",include,core_sampler_or_lft,"Direct method, lattice-field, stochastic-process, or sampler relevance.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
58,Jarzynski:2013qyb,"Jarzynski, Christopher",2013,Equalities and Inequalities: Irreversibility and the Second Law of Thermodynamics at the Nanoscale,Prog. Math. Phys.,10.1007/978-3-0348-0359-5_4,,,261,"which can be achieved by learning the drifts in the forward and backward dynamics. Via the Jarzynski equality \cite{Jarzynski:2013qyb,Pachter2024}, under perfect training, the KL divergence admits an entropy-free energy decomposition,",include_context,thermodynamic_foundation,"Foundational path-entropy, nonequilibrium, or information-theoretic context.",metadata_from_root_bib,not_yet_retrieved,Freshly reconstructed from live TeX citation order.
