dijkstra_rank,candidate_id,title,decision,screen_score,route_occurrences,dijkstra_distance,priority_score,reachable,path_nodes,path_relations,path_edge_weights
106,doi:10.22323/1.251.0309,Instantaneous Stochastic Perturbation Theory and Gradient flow in $\phi^4$ theory,exclude,3,1,1.50322,0.64088,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.251.0309,root_to_query -> query_hit,0.05 + 1.45322
107,arxiv:2110.02673,Scaling Up Machine Learning For Quantum Field Theory with Equivariant Continuous Flows,include,9,1,1.505623,0.700395,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2110.02673,root_to_query -> query_hit,0.2 + 1.305623
108,doi:10.1117/12.3086992,Front Matter: Volume 13790,exclude,-14,1,1.513963,0.608714,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1117/12.3086992,root_to_query -> query_hit,0.15 + 1.363963
109,doi:10.1109/tpami.2021.3116668,"Deep Generative Modelling: A Comparative Review of VAEs, GANs, Normalizing Flows, Energy-Based and Autoregressive Models",exclude,-3,6,1.519445,0.632612,yes,paper:arxiv:2606.13790 -> query:Q31 -> paper:doi:10.1109/tpami.2021.3116668,root_to_query -> query_hit,0.75 + 0.769445
110,doi:10.22323/1.251.0282,Lefschetz-thimble path integral for solving the mean-field sign problem,exclude,-6,1,1.529035,0.605689,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.251.0282,root_to_query -> query_hit,0.05 + 1.479035
111,arxiv:2502.02127,Exploring Generative Networks for Manifolds with Non-Trivial Topology,exclude,2,1,1.53322,0.624851,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2502.02127,root_to_query -> query_hit,0.2 + 1.33322
112,doi:10.1007/s11263-010-0390-2,A Database and Evaluation Methodology for Optical Flow,exclude,-7,3,1.534518,0.614592,yes,paper:arxiv:2606.13790 -> query:Q21 -> paper:doi:10.1007/s11263-010-0390-2,root_to_query -> query_hit,0.65 + 0.884518
113,doi:10.1088/2632-2153/abab62,<tt>i- flow</tt>: High-dimensional integration and sampling with normalizing flows,exclude,-4,2,1.534518,0.609592,yes,paper:arxiv:2606.13790 -> query:Q18 -> paper:doi:10.1088/2632-2153/abab62,root_to_query -> query_hit,0.65 + 0.884518
114,doi:10.1109/5.726791,Gradient-based learning applied to document recognition,exclude,-7,2,1.534518,0.609592,yes,paper:arxiv:2606.13790 -> query:Q14 -> paper:doi:10.1109/5.726791,root_to_query -> query_hit,0.65 + 0.884518
115,doi:10.1038/nbt.2931,Normalization of RNA-seq data using factor analysis of control genes or samples,exclude,-7,2,1.534518,0.609592,yes,paper:arxiv:2606.13790 -> query:Q19 -> paper:doi:10.1038/nbt.2931,root_to_query -> query_hit,0.65 + 0.884518
116,arxiv:1609.03499,WaveNet: A Generative Model for Raw Audio,exclude,-5,2,1.534518,0.609592,yes,paper:arxiv:2606.13790 -> query:Q20 -> paper:arxiv:1609.03499,root_to_query -> query_hit,0.65 + 0.884518
117,doi:10.3390/met7020043,Corrosion-Resistant High-Entropy Alloys: A Review,exclude,-13,1,1.534518,0.604592,yes,paper:arxiv:2606.13790 -> query:Q16 -> paper:doi:10.3390/met7020043,root_to_query -> query_hit,0.65 + 0.884518
118,arxiv:2006.11239,Denoising Diffusion Probabilistic Models,exclude,-4,1,1.534518,0.604592,yes,paper:arxiv:2606.13790 -> query:Q22 -> paper:arxiv:2006.11239,root_to_query -> query_hit,0.65 + 0.884518
119,doi:10.1038/s42254-020-0235-z,Domain-wall engineering and topological defects in ferroelectric and ferroelastic materials,exclude,-13,1,1.534518,0.604592,yes,paper:arxiv:2606.13790 -> query:Q12 -> paper:doi:10.1038/s42254-020-0235-z,root_to_query -> query_hit,0.65 + 0.884518
120,doi:10.1038/35085500,Dynamics of collapsing and exploding Bose–Einstein condensates,exclude,-14,1,1.534518,0.604592,yes,paper:arxiv:2606.13790 -> query:Q23 -> paper:doi:10.1038/35085500,root_to_query -> query_hit,0.65 + 0.884518
121,doi:10.1038/s41586-019-1855-2,Mass balance of the Greenland Ice Sheet from 1992 to 2018,exclude,-14,1,1.534518,0.604592,yes,paper:arxiv:2606.13790 -> query:Q13 -> paper:doi:10.1038/s41586-019-1855-2,root_to_query -> query_hit,0.65 + 0.884518
122,doi:10.1016/s0021-9258(19)52451-6,PROTEIN MEASUREMENT WITH THE FOLIN PHENOL REAGENT,exclude,-14,1,1.534518,0.604592,yes,paper:arxiv:2606.13790 -> query:Q11 -> paper:doi:10.1016/s0021-9258(19)52451-6,root_to_query -> query_hit,0.65 + 0.884518
123,doi:10.1038/srep42717,"SwissADME: a free web tool to evaluate pharmacokinetics, drug-likeness and medicinal chemistry friendliness of small molecules",exclude,-7,1,1.534518,0.604592,yes,paper:arxiv:2606.13790 -> query:Q15 -> paper:doi:10.1038/srep42717,root_to_query -> query_hit,0.65 + 0.884518
124,arxiv:2501.07371,Simulating the Hubbard Model with Equivariant Normalizing Flows,include,9,1,1.543775,0.692745,yes,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2501.07371,root_to_query -> query_hit,0.65 + 0.893775
125,arxiv:2401.00828,Multi-Lattice Sampling of Quantum Field Theories via Neural Operator-based Flows,monitor,7,1,1.543775,0.672745,yes,paper:arxiv:2606.13790 -> query:Q29 -> paper:arxiv:2401.00828,root_to_query -> query_hit,0.65 + 0.893775
126,doi:10.1007/978-3-642-16483-5_4210,OM,exclude,-14,1,1.54598,0.602305,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-642-16483-5_4210,root_to_query -> query_hit,0.15 + 1.39598
127,doi:10.22323/1.164.0240,Three loops renormalization constants in Numerical Stochastic Perturbation Theory,exclude,-13,1,1.553285,0.600853,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.164.0240,root_to_query -> query_hit,0.05 + 1.503285
128,doi:10.1103/physrevd.107.l051504,Learning trivializing gradient flows for lattice gauge theories,monitor,6,1,1.557776,0.659961,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1103/physrevd.107.l051504,root_to_query -> query_hit,0.05 + 1.507776
129,doi:10.1109/iccv.2019.00299,6-DOF GraspNet: Variational Grasp Generation for Object Manipulation,exclude,-5,1,1.558364,0.599845,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.1109/iccv.2019.00299,root_to_query -> query_hit,0.45 + 1.108364
130,arxiv:2405.15986,Accelerating Diffusion Models with Parallel Sampling: Inference at Sub-Linear Time Complexity,exclude,-1,1,1.558364,0.599845,yes,paper:arxiv:2606.13790 -> query:Q08 -> paper:arxiv:2405.15986,root_to_query -> query_hit,0.45 + 1.108364
131,title:on ants islands and evolution,"On Ants, Islands and Evolution",exclude,-12,1,1.558364,0.599845,yes,paper:arxiv:2606.13790 -> query:Q06 -> paper:title:on ants islands and evolution,root_to_query -> query_hit,0.45 + 1.108364
132,arxiv:2107.00734,Flow-based sampling for multimodal and extended-mode distributions in lattice field theory,include,12,1,1.559035,0.719712,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2107.00734,root_to_query -> query_hit,0.2 + 1.359035
133,doi:10.22323/1.396.0508,LeapfrogLayers: A Trainable Framework for Effective Topological Sampling,monitor,7,1,1.569445,0.667652,yes,paper:arxiv:2606.13790 -> query:Q33 -> paper:doi:10.22323/1.396.0508,root_to_query -> query_hit,0.8 + 0.769445
134,doi:10.1007/978-3-540-29678-2_3801,Neural Stem Cells,exclude,-14,1,1.575623,0.596433,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-540-29678-2_3801,root_to_query -> query_hit,0.15 + 1.425623
135,doi:10.1007/978-3-642-57886-1_8,Field Theory on a Lattice,exclude,-6,1,1.576149,0.596329,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.1007/978-3-642-57886-1_8,root_to_query -> query_hit,0.05 + 1.526149
136,doi:10.1109/access.2014.2302442,Sampling-Based Robot Motion Planning: A Review,exclude,-5,1,1.578293,0.595906,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1109/access.2014.2302442,root_to_query -> query_hit,0.05 + 1.528293
137,arxiv:2211.03470,Fourier-flow model generating Feynman paths,include,9,1,1.583285,0.684924,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2211.03470,root_to_query -> query_hit,0.2 + 1.383285
138,doi:10.1111/j.1467-9868.2006.00552.x,Exact and Computationally Efficient Likelihood-Based Estimation for Discretely Observed Diffusion Processes (with Discussion),exclude,-4,1,1.584518,0.594682,yes,paper:arxiv:2606.13790 -> query:Q36 -> paper:doi:10.1111/j.1467-9868.2006.00552.x,root_to_query -> query_hit,0.7 + 0.884518
139,doi:10.22323/1.020.0284,Stochastic Perturbation Theory and the Gluon Condensate,exclude,-13,1,1.597776,0.592081,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.020.0284,root_to_query -> query_hit,0.05 + 1.547776
140,doi:10.2172/2229681,"Quantum Optimization: Potential, Challenges, and the Path Forward",exclude,-5,1,1.597809,0.592075,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.2172/2229681,root_to_query -> query_hit,0.05 + 1.547809
141,doi:10.1007/978-3-642-16483-5_4206,Oligomerization Domain,exclude,-14,1,1.60322,0.591017,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-642-16483-5_4206,root_to_query -> query_hit,0.15 + 1.45322
142,arxiv:2303.15136,Exploring QCD matter in extreme conditions with Machine Learning,exclude,1,1,1.606149,0.600445,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2303.15136,root_to_query -> query_hit,0.2 + 1.406149
143,doi:10.1021/acsestwater.5c00281.s001,"A Low-Cost, Open-Source, 3D-Printed, Compact, In Situ Automatic Water Sampler for Environmental Surveillance",exclude,-7,1,1.609445,0.589802,yes,paper:arxiv:2606.13790 -> query:Q34 -> paper:doi:10.1021/acsestwater.5c00281.s001,root_to_query -> query_hit,0.8 + 0.809445
144,doi:10.21468/scipostphys.19.3.077,Super-resolving normalising flows for lattice field theories,monitor,8,1,1.611777,0.669348,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.21468/scipostphys.19.3.077,root_to_query -> query_hit,0.45 + 1.161777
145,doi:10.26180/15020046.v1,Probing Nuclear Matter with Gravitational Waves,exclude,-12,1,1.611777,0.589348,yes,paper:arxiv:2606.13790 -> query:Q08 -> paper:doi:10.26180/15020046.v1,root_to_query -> query_hit,0.45 + 1.161777
146,doi:10.1103/physrevd.106.014514,Flow-based sampling in the lattice Schwinger model at criticality,monitor,7,2,1.616417,0.663445,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1103/physrevd.106.014514,root_to_query -> query_hit,0.05 + 1.566417
147,arxiv:2101.08176,Introduction to Normalizing Flows for Lattice Field Theory,include,9,1,1.616704,0.678389,yes,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2101.08176,root_to_query -> query_hit,0.65 + 0.966704
148,doi:10.22323/1.139.0308,Glueball masses from ratios of path integrals,exclude,-7,1,1.618293,0.58808,yes,paper:arxiv:2606.13790 -> query:Q02 -> paper:doi:10.22323/1.139.0308,root_to_query -> query_hit,0.05 + 1.568293
149,doi:10.1101/2022.12.01.518682,Illuminating protein space with a programmable generative model,exclude,-4,1,1.619445,0.587856,yes,paper:arxiv:2606.13790 -> query:Q32 -> paper:doi:10.1101/2022.12.01.518682,root_to_query -> query_hit,0.85 + 0.769445
150,doi:10.1103/physrevd.108.114501,Detecting and mitigating mode-collapse for flow-based sampling of lattice field theories,include,10,2,1.623775,0.692015,yes,paper:arxiv:2606.13790 -> query:Q23 -> paper:doi:10.1103/physrevd.108.114501,root_to_query -> query_hit,0.65 + 0.973775
151,doi:10.22323/1.430.0036,Sampling QCD field configurations with gauge-equivariant flow models,include,9,1,1.623775,0.677015,yes,paper:arxiv:2606.13790 -> query:Q24 -> paper:doi:10.22323/1.430.0036,root_to_query -> query_hit,0.65 + 0.973775
152,doi:10.1109/tpami.2023.3261988,Diffusion Models in Vision: A Survey,exclude,-2,3,1.623775,0.597015,yes,paper:arxiv:2606.13790 -> query:Q21 -> paper:doi:10.1109/tpami.2023.3261988,root_to_query -> query_hit,0.65 + 0.973775
153,doi:10.1145/3447648,StyleFlow: Attribute-conditioned Exploration of StyleGAN-Generated Images using Conditional Continuous Normalizing Flows,exclude,-4,2,1.623775,0.592015,yes,paper:arxiv:2606.13790 -> query:Q19 -> paper:doi:10.1145/3447648,root_to_query -> query_hit,0.65 + 0.973775
154,doi:10.1007/s40304-017-0117-6,Deep Learning-Based Numerical Methods for High-Dimensional Parabolic Partial Differential Equations and Backward Stochastic Differential Equations,exclude,-13,1,1.623775,0.587015,yes,paper:arxiv:2606.13790 -> query:Q14 -> paper:doi:10.1007/s40304-017-0117-6,root_to_query -> query_hit,0.65 + 0.973775
155,doi:10.3390/e16010494,Exploration and Development of High Entropy Alloys for Structural Applications,exclude,-13,1,1.623775,0.587015,yes,paper:arxiv:2606.13790 -> query:Q16 -> paper:doi:10.3390/e16010494,root_to_query -> query_hit,0.65 + 0.973775
156,doi:10.1007/s11336-009-9136-x,High-dimensional Exploratory Item Factor Analysis by A Metropolis–Hastings Robbins–Monro Algorithm,exclude,-14,1,1.623775,0.587015,yes,paper:arxiv:2606.13790 -> query:Q17 -> paper:doi:10.1007/s11336-009-9136-x,root_to_query -> query_hit,0.65 + 0.973775
157,doi:10.1038/nature22391,Layer-dependent ferromagnetism in a van der Waals crystal down to the monolayer limit,exclude,-14,1,1.623775,0.587015,yes,paper:arxiv:2606.13790 -> query:Q11 -> paper:doi:10.1038/nature22391,root_to_query -> query_hit,0.65 + 0.973775
158,doi:10.1016/s2215-0366(20)30308-4,Mental health before and during the COVID-19 pandemic: a longitudinal probability sample survey of the UK population,exclude,-7,1,1.623775,0.587015,yes,paper:arxiv:2606.13790 -> query:Q13 -> paper:doi:10.1016/s2215-0366(20)30308-4,root_to_query -> query_hit,0.65 + 0.973775
159,doi:10.3150/bj/1165269151,Retrospective exact simulation of diffusion sample paths with applications,exclude,-4,1,1.623775,0.587015,yes,paper:arxiv:2606.13790 -> query:Q22 -> paper:doi:10.3150/bj/1165269151,root_to_query -> query_hit,0.65 + 0.973775
160,doi:10.1038/s41467-022-30224-8,"Strong, tough, ionic conductive, and freezing-tolerant all-natural hydrogel enabled by cellulose-bentonite coordination interactions",exclude,-14,1,1.623775,0.587015,yes,paper:arxiv:2606.13790 -> query:Q12 -> paper:doi:10.1038/s41467-022-30224-8,root_to_query -> query_hit,0.65 + 0.973775
161,doi:10.1103/revmodphys.75.559,The cosmological constant and dark energy,exclude,-14,1,1.623775,0.587015,yes,paper:arxiv:2606.13790 -> query:Q15 -> paper:doi:10.1103/revmodphys.75.559,root_to_query -> query_hit,0.65 + 0.973775
162,title:stochastic normalizing flows,Stochastic Normalizing Flows,include,12,1,1.627776,0.70624,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:title:stochastic normalizing flows,root_to_query -> query_hit,0.2 + 1.427776
163,doi:10.1007/978-94-017-9780-1_100713,Nano-patterning,exclude,-14,1,1.629035,0.585996,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-94-017-9780-1_100713,root_to_query -> query_hit,0.15 + 1.479035
164,arxiv:2402.06320,Particle Denoising Diffusion Sampler,exclude,-2,1,1.634518,0.584935,yes,paper:arxiv:2606.13790 -> query:Q31 -> paper:arxiv:2402.06320,root_to_query -> query_hit,0.75 + 0.884518
165,arxiv:2201.08862,Stochastic normalizing flows as non-equilibrium transformations,include,17,2,1.648293,0.757278,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2201.08862,root_to_query -> query_hit,0.2 + 1.448293
166,doi:10.1007/978-3-642-28753-4_101613,Pain Disorder,exclude,-14,1,1.653285,0.581318,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-642-28753-4_101613,root_to_query -> query_hit,0.15 + 1.503285
167,doi:10.1103/prxquantum.2.040201,How To Use Neural Networks To Investigate Quantum Many-Body Physics,exclude,-3,1,1.65889,0.580243,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.1103/prxquantum.2.040201,root_to_query -> query_hit,0.45 + 1.20889
168,doi:10.1007/s00477-010-0431-y,Long-term time-dependent stochastic modelling of extreme waves,exclude,-11,2,1.66755,0.583585,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1007/s00477-010-0431-y,root_to_query -> query_hit,0.05 + 1.61755
169,doi:10.1016/j.spa.2016.08.004,Multilevel sequential Monte Carlo samplers,exclude,-4,1,1.673775,0.577396,yes,paper:arxiv:2606.13790 -> query:Q36 -> paper:doi:10.1016/j.spa.2016.08.004,root_to_query -> query_hit,0.7 + 0.973775
170,doi:10.1007/978-3-540-29678-2_3802,Neural Tube,exclude,-14,1,1.676149,0.576943,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-540-29678-2_3802,root_to_query -> query_hit,0.15 + 1.526149
171,arxiv:2309.14983,Sampling Nambu-Goto theory using Normalizing Flows,include,9,1,1.678364,0.666521,yes,paper:arxiv:2606.13790 -> query:Q28 -> paper:arxiv:2309.14983,root_to_query -> query_hit,0.65 + 1.028364
172,doi:10.1103/physrevresearch.5.013216,Gauge-invariant and anyonic-symmetric autoregressive neural network for quantum lattice models,exclude,3,1,1.683239,0.605593,yes,paper:arxiv:2606.13790 -> query:Q01 -> paper:doi:10.1103/physrevresearch.5.013216,root_to_query -> query_hit,0.05 + 1.633239
173,doi:10.1140/epja/s10050-023-01154-w,Aspects of scaling and scalability for flow-based sampling of lattice QCD,include,11,1,1.684518,0.685349,yes,paper:arxiv:2606.13790 -> query:Q33 -> paper:doi:10.1140/epja/s10050-023-01154-w,root_to_query -> query_hit,0.8 + 0.884518
174,arxiv:2412.19109,Stochastic normalizing flows for Effective String Theory,include,18,2,1.686417,0.759989,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2412.19109,root_to_query -> query_hit,0.2 + 1.486417
175,doi:10.1137/1119062,Approximate Integration of Stochastic Differential Equations,exclude,5,1,1.696704,0.623037,yes,paper:arxiv:2606.13790 -> query:Q14 -> paper:doi:10.1137/1119062,root_to_query -> query_hit,0.65 + 1.046704
176,doi:10.1214/20-ba1221,"Rank-Normalization, Folding, and Localization: An Improved Rˆ for Assessing Convergence of MCMC (with Discussion)",exclude,-3,3,1.696704,0.583037,yes,paper:arxiv:2606.13790 -> query:Q21 -> paper:doi:10.1214/20-ba1221,root_to_query -> query_hit,0.65 + 1.046704
177,doi:10.3389/fnhum.2010.00215,"Attention, Uncertainty, and Free-Energy",exclude,-14,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q15 -> paper:doi:10.3389/fnhum.2010.00215,root_to_query -> query_hit,0.65 + 1.046704
178,doi:10.1112/jlms/s1-42.1.186b,DIFFUSION PROCESSES AND THEIR SAMPLE PATHS,exclude,-5,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q22 -> paper:doi:10.1112/jlms/s1-42.1.186b,root_to_query -> query_hit,0.65 + 1.046704
179,doi:10.1103/physrevlett.79.5154,Dynamics of an Interacting Particle System: Evidence of Critical Slowing Down,exclude,-5,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q11 -> paper:doi:10.1103/physrevlett.79.5154,root_to_query -> query_hit,0.65 + 1.046704
180,doi:10.1186/1471-2105-11-94,Evaluation of statistical methods for normalization and differential expression in mRNA-Seq experiments,exclude,-5,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q18 -> paper:doi:10.1186/1471-2105-11-94,root_to_query -> query_hit,0.65 + 1.046704
181,title:gauge equivariant convolutional networks and the icosahedral cnn,Gauge Equivariant Convolutional Networks and the Icosahedral CNN,exclude,-6,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q24 -> paper:title:gauge equivariant convolutional networks and the icosahedral cnn,root_to_query -> query_hit,0.65 + 1.046704
182,doi:10.1159/000360229,Group-Based Trajectory Modeling: An Overview,exclude,-14,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q13 -> paper:doi:10.1159/000360229,root_to_query -> query_hit,0.65 + 1.046704
183,doi:10.1007/s40145-021-0477-y,"High-entropy ceramics: Present status, challenges, and a look forward",exclude,-7,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q16 -> paper:doi:10.1007/s40145-021-0477-y,root_to_query -> query_hit,0.65 + 1.046704
184,doi:10.1083/jcb.201012028,High-resolution mapping reveals topologically distinct cellular pools of phosphatidylserine,exclude,-13,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q12 -> paper:doi:10.1083/jcb.201012028,root_to_query -> query_hit,0.65 + 1.046704
185,arxiv:1711.02281,Non-Autoregressive Neural Machine Translation,exclude,-5,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q20 -> paper:arxiv:1711.02281,root_to_query -> query_hit,0.65 + 1.046704
186,title:note on rejection sampling and exact sampling with the metropolised independence sampler,Note on rejection sampling and exact sampling with the Metropolised independence sampler,exclude,-7,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q17 -> paper:title:note on rejection sampling and exact sampling with the metropolised independence sampler,root_to_query -> query_hit,0.65 + 1.046704
187,doi:10.1109/globalsip.2018.8646478,ON THE TRADEOFF BETWEEN MODE COLLAPSE AND SAMPLE QUALITY IN GENERATIVE ADVERSARIAL NETWORKS,exclude,-6,1,1.696704,0.573037,yes,paper:arxiv:2606.13790 -> query:Q23 -> paper:doi:10.1109/globalsip.2018.8646478,root_to_query -> query_hit,0.65 + 1.046704
188,doi:10.1007/978-3-642-16483-5_4209,Ollier Disease,exclude,-14,1,1.697776,0.572834,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-642-16483-5_4209,root_to_query -> query_hit,0.15 + 1.547776
189,doi:10.2824/92307,Post-Quantum Cryptography: Current state and quantum mitigation,exclude,-5,1,1.701034,0.572218,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.2824/92307,root_to_query -> query_hit,0.45 + 1.251034
190,arxiv:2409.15937,Numerical determination of the width and shape of the effective string using Stochastic Normalizing Flows,include,19,2,1.704198,0.76662,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:2409.15937,root_to_query -> query_hit,0.2 + 1.504198
191,doi:10.1007/978-3-642-16483-5_4207,Oligonucleotide,exclude,-14,1,1.718293,0.568964,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-642-16483-5_4207,root_to_query -> query_hit,0.15 + 1.568293
192,arxiv:1810.12879,Regressive and generative neural networks for scalar field theory,include,9,1,1.721222,0.658414,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:1810.12879,root_to_query -> query_hit,0.2 + 1.521222
193,doi:10.1093/mnras/stv781,GREAT3 results – I. Systematic errors in shear estimation and the impact of real galaxy morphology,exclude,-5,1,1.723775,0.567935,yes,paper:arxiv:2606.13790 -> query:Q31 -> paper:doi:10.1093/mnras/stv781,root_to_query -> query_hit,0.75 + 0.973775
194,doi:10.15760/etd.1533,"The Small Volume Autonomous Water Sampler (SVAWS): An Innovative, Cost- Effective, Adaptable Protocol",exclude,-7,1,1.724518,0.567795,yes,paper:arxiv:2606.13790 -> query:Q34 -> paper:doi:10.15760/etd.1533,root_to_query -> query_hit,0.8 + 0.924518
195,doi:10.1145/3446374,"Generative Adversarial Networks (GANs): Challenges, Solutions, and Future Directions",exclude,-12,1,1.734518,0.565922,yes,paper:arxiv:2606.13790 -> query:Q32 -> paper:doi:10.1145/3446374,root_to_query -> query_hit,0.85 + 0.884518
196,arxiv:1907.05600,Generative Modeling by Estimating Gradients of the Data Distribution,exclude,1,1,1.73755,0.575356,yes,paper:arxiv:2606.13790 -> query:Q04 -> paper:arxiv:1907.05600,root_to_query -> query_hit,0.2 + 1.53755
197,doi:10.1007/978-3-642-28753-4_201585,Pain Drawings,exclude,-14,1,1.737809,0.565307,yes,paper:arxiv:2606.13790 -> query:Q35 -> paper:doi:10.1007/978-3-642-28753-4_201585,root_to_query -> query_hit,0.15 + 1.587809
198,doi:10.1145/3456629,"A Survey of Microarchitectural Side-channel Vulnerabilities, Attacks, and Defenses in Cryptography",exclude,-12,1,1.739158,0.565056,yes,paper:arxiv:2606.13790 -> query:Q10 -> paper:doi:10.1145/3456629,root_to_query -> query_hit,0.45 + 1.289158
199,doi:10.1214/154957805100000131,Controlled diffusion processes,exclude,-4,1,1.746704,0.563649,yes,paper:arxiv:2606.13790 -> query:Q36 -> paper:doi:10.1214/154957805100000131,root_to_query -> query_hit,0.7 + 1.046704
200,arxiv:2409.18861,Sampling SU(3) pure gauge theory with Stochastic Normalizing Flows,include,14,2,1.75,0.708035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2409.18861,paper_to_facet -> facet_to_paper,0.8 + 0.95
201,arxiv:2211.07541,Aspects of scaling and scalability for flow-based sampling of lattice QCD,include,13,1,1.75,0.693035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2211.07541,paper_to_facet -> facet_to_paper,0.8 + 0.95
202,arxiv:2604.12416,Machine learning for four-dimensional SU(3) lattice gauge theories,include,12,1,1.75,0.683035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2604.12416,paper_to_facet -> facet_to_paper,0.8 + 0.95
203,doi:10.1103/physrevd.111.074517,Scaling of stochastic normalizing flows in SU(3) lattice gauge theory,include,12,1,1.75,0.683035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1103/physrevd.111.074517,paper_to_facet -> facet_to_paper,0.8 + 0.95
204,arxiv:2208.03832,Sampling QCD field configurations with gauge-equivariant flow models,include,11,2,1.75,0.678035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2208.03832,paper_to_facet -> facet_to_paper,0.8 + 0.95
205,arxiv:2601.20708,A scalable flow-based approach to mitigate topological freezing,include,11,1,1.75,0.673035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2601.20708,paper_to_facet -> facet_to_paper,0.8 + 0.95
206,arxiv:2306.00581,Sampling U(1) gauge theory using a re-trainable conditional flow-based model,include,10,2,1.75,0.668035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2306.00581,paper_to_facet -> facet_to_paper,0.8 + 0.95
207,doi:10.22323/1.518.0020,Machine learning for four-dimensional SU(3) lattice gauge theories,include,10,1,1.75,0.663035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.22323/1.518.0020,paper_to_facet -> facet_to_paper,0.8 + 0.95
208,arxiv:2402.01046,Towards the Application of Skewed Detailed Balance in Lattice Gauge Theories,include,10,1,1.75,0.663035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2402.01046,paper_to_facet -> facet_to_paper,0.8 + 0.95
209,doi:10.1103/physrevd.104.114507,Flow-based sampling for fermionic lattice field theories,include,9,1,1.75,0.653035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:doi:10.1103/physrevd.104.114507,paper_to_facet -> facet_to_paper,0.8 + 0.95
210,arxiv:2207.08945,Gauge-equivariant flow models for sampling in lattice field theories with pseudofermions,include,9,1,1.75,0.653035,yes,paper:arxiv:2606.13790 -> facet:extension -> paper:arxiv:2207.08945,paper_to_facet -> facet_to_paper,0.8 + 0.95
