node_id,node_type,label,decision,facets,source
author:vincent_xue,author,Vincent Xue,,,
author:fritz_obermeyer,author,Fritz Obermeyer,,,
author:andrew_l_beam,author,Andrew L. Beam,,,
author:gevorg_grigoryan,author,Gevorg Grigoryan,,,
paper:doi:10.1007/jhep03(2021)111,paper,Large-N SU(N) Yang-Mills theories with milder topological freezing,exclude,failure,https://doi.org/10.1007/jhep03(2021)111
author:claudio_bonati,author,Claudio Bonati,,,
paper:doi:10.1016/j.spa.2016.08.004,paper,Multilevel sequential Monte Carlo samplers,exclude,lineage,https://doi.org/10.1016/j.spa.2016.08.004
author:ajay_jasra,author,Ajay Jasra,,,
author:kody_j_h_law,author,Kody J. H. Law,,,
author:ra_l_tempone,author,Raúl Tempone,,,
author:yan_zhou,author,Yan Zhou,,,
paper:doi:10.1007/s40072-015-0049-7,paper,Optimization of mesh hierarchies in multilevel Monte Carlo samplers,exclude,lineage,https://doi.org/10.1007/s40072-015-0049-7
author:abdul_lateef_haji_ali,author,Abdul-Lateef Haji-Ali,,,
author:fabio_nobile,author,Fabio Nobile,,,
author:erik_von_schwerin,author,Erik von Schwerin,,,
paper:doi:10.1186/1752-0509-4-21,paper,Parameter estimation and inference for stochastic reaction-diffusion systems: application to morphogenesis in D. melanogaster,exclude,lineage,https://doi.org/10.1186/1752-0509-4-21
author:michael_dewar,author,Michael Dewar,,,
author:visakan_kadirkamanathan,author,Visakan Kadirkamanathan,,,
author:manfred_opper,author,Manfred Opper,,,
author:guido_sanguinetti,author,Guido Sanguinetti,,,
paper:arxiv:2205.11487,paper,Photorealistic Text-to-Image Diffusion Models with Deep Language Understanding,exclude,adjacent_method,http://arxiv.org/abs/2205.11487
author:chitwan_saharia,author,Chitwan Saharia,,,
author:william_chan,author,William Chan,,,
author:saurabh_saxena,author,Saurabh Saxena,,,
author:lala_li,author,Lala Li,,,
author:jay_whang,author,Jay Whang,,,
author:emily_denton,author,Emily Denton,,,
author:seyed_kamyar_seyed_ghasemipour,author,Seyed Kamyar Seyed Ghasemipour,,,
author:burcu_karagol_ayan,author,Burcu Karagol Ayan,,,
author:s_sara_mahdavi,author,S. Sara Mahdavi,,,
author:rapha_gontijo_lopes,author,Rapha Gontijo Lopes,,,
author:tim_salimans,author,Tim Salimans,,,
author:jonathan_ho,author,Jonathan Ho,,,
author:david_j_fleet,author,David J. Fleet,,,
author:mohammad_norouzi,author,Mohammad Norouzi,,,
paper:arxiv:2202.00512,paper,Progressive Distillation for Fast Sampling of Diffusion Models,exclude,adjacent_method,http://arxiv.org/abs/2202.00512
paper:doi:10.1108/ftinr-06-2025-0109,paper,Recommendation with generative models,exclude,failure,https://doi.org/10.1108/ftinr-06-2025-0109
author:yashar_deldjoo,author,Yashar Deldjoo,,,
author:zhankui_he,author,Zhankui He,,,
author:anton_korikov,author,Anton Korikov,,,
author:scott_sanner,author,Scott Sanner,,,
author:arnau_ramisa,author,Arnau Ramisa,,,
author:ren_vidal,author,René Vidal,,,
author:maheswaran_sathiamoorthy,author,Maheswaran Sathiamoorthy,,,
author:atoosa_kasrizadeh,author,Atoosa Kasrizadeh,,,
author:silvia_milano,author,Silvia Milano,,,
author:francesco_ricci,author,Francesco Ricci⋆,,,
paper:doi:10.3150/bj/1165269151,paper,Retrospective exact simulation of diffusion sample paths with applications,exclude,adjacent_method,https://doi.org/10.3150/bj/1165269151
paper:doi:10.1103/physrevc.104.064001,paper,Rigorous constraints on three-nucleon forces in chiral effective field theory from fast and accurate calculations of few-body observables,exclude,correction,https://doi.org/10.1103/physrevc.104.064001
author:sarah_wesolowski,author,Sarah Wesolowski,,,
author:isak_svensson,author,Isak Svensson,,,
author:a_ekstr_m,author,A. Ekström,,,
author:c_forss_n,author,C. Forssén,,,
author:r_j_furnstahl,author,R. J. Furnstahl,,,
author:j_a_melendez,author,J. A. Melendez,,,
author:daniel_r_phillips,author,Daniel R. Phillips,,,
paper:doi:10.1103/physreve.107.054127,paper,Simulating first-order phase transition with hierarchical autoregressive networks,exclude,extension,https://doi.org/10.1103/physreve.107.054127
author:p_bia_as,author,P. Białas,,,
author:paulina_czarnota,author,Paulina Czarnota,,,
paper:arxiv:1511.03804,paper,Study of entropy production in Yang-Mills theory with use of Husimi function,exclude,objective,http://arxiv.org/abs/1511.03804v1
author:hidekazu_tsukiji,author,Hidekazu Tsukiji,,,
author:hideaki_iida,author,Hideaki Iida,,,
author:teiji_kunihiro,author,Teiji Kunihiro,,,
author:akira_ohnishi,author,Akira Ohnishi,,,
author:toru_t_takahashi,author,Toru T. Takahashi,,,
paper:title:styleflow attribute conditioned exploration of stylegan generated images using conditional continuous normalizing flows,paper,StyleFlow: Attribute-conditioned Exploration of StyleGAN-Generated Images using Conditional Continuous Normalizing Flows,exclude,adjacent_method,https://discovery.ucl.ac.uk/id/eprint/10139851/
author:abdal_r,author,"Abdal, R",,,
author:zhu_p,author,"Zhu, P",,,
author:mitra_nj,author,"Mitra, NJ",,,
author:wonka_p,author,"Wonka, P",,,
paper:doi:10.1214/10-sts327,paper,The Random Walk Metropolis: Linking Theory and Practice Through a Case Study,exclude,correction,https://doi.org/10.1214/10-sts327
author:chris_sherlock,author,Chris Sherlock,,,
paper:arxiv:1711.11586,paper,Toward Multimodal Image-to-Image Translation,exclude,failure,http://arxiv.org/abs/1711.11586
author:jun_yan_zhu,author,Jun-Yan Zhu,,,
author:richard_zhang,author,Richard Zhang,,,
author:deepak_pathak,author,Deepak Pathak,,,
author:trevor_darrell,author,Trevor Darrell,,,
author:alexei_a_efros,author,Alexei A. Efros,,,
author:oliver_wang,author,Oliver Wang,,,
author:eli_shechtman,author,Eli Shechtman,,,
paper:arxiv:1705.07761,paper,VEEGAN: Reducing Mode Collapse in GANs using Implicit Variational Learning,exclude,failure,http://arxiv.org/abs/1705.07761
author:akash_srivastava,author,Akash Srivastava,,,
author:lazar_valkov,author,Lazar Valkov,,,
author:chris_russell,author,Chris Russell,,,
author:michael_u_gutmann,author,Michael U. Gutmann,,,
author:charles_sutton,author,Charles Sutton,,,
paper:doi:10.1109/tpami.2010.147,paper,SIFT Flow: Dense Correspondence across Scenes and Its Applications,exclude,adjacent_method,https://doi.org/10.1109/tpami.2010.147
author:ce_liu,author,Ce Liu,,,
author:jenny_yuen,author,Jenny Yuen,,,
author:antonio_torralba,author,Antonio Torralba,,,
paper:doi:10.1002/jcc.21287,paper,CHARMM: The biomolecular simulation program,exclude,mechanism;objective,https://doi.org/10.1002/jcc.21287
author:bernard_r_brooks,author,Bernard R. Brooks,,,
author:charles_l_brooks,author,Charles L. Brooks,,,
author:alexander_d_mackerell,author,Alexander D. MacKerell,,,
author:lennart_nilsson,author,Lennart Nilsson,,,
author:robert_j_petrella,author,Robert J. Petrella,,,
author:beno_t_roux,author,Benoı̂t Roux,,,
author:youngdo_won,author,Youngdo Won,,,
author:georgios_archontis,author,Georgios Archontis,,,
author:christian_bartels,author,Christian Bartels,,,
author:stefan_boresch,author,Stefan Boresch,,,
author:amedeo_caflisch,author,Amedeo Caflisch,,,
author:leo_s_d_caves,author,Leo S. D. Caves,,,
author:qiang_cui,author,Qiang Cui,,,
author:aaron_r_dinner,author,Aaron R. Dinner,,,
author:michael_feig,author,Michael Feig,,,
author:stefan_fischer,author,Stefan Fischer,,,
author:jun_gao,author,Jun Gao,,,
author:milan_hodo_ek,author,Milan Hodošček,,,
author:wonpil_im,author,Wonpil Im,,,
author:krzysztof_kuczera,author,Krzysztof Kuczera,,,
author:themis_lazaridis,author,Themis Lazaridis,,,
author:jianpeng_ma,author,Jianpeng Ma,,,
author:victor_ovchinnikov,author,Victor Ovchinnikov,,,
author:emanuele_paci,author,Emanuele Paci,,,
author:richard_w_pastor,author,Richard W. Pastor,,,
author:carol_beth_post,author,Carol Beth Post,,,
author:jingzhi_pu,author,Jingzhi Pu,,,
author:michael_schaefer,author,Michael Schaefer,,,
author:bruce_tidor,author,Bruce Tidor,,,
author:richard_m_venable,author,Richard M. Venable,,,
author:h_lee_woodcock,author,H. Lee Woodcock,,,
author:xiaojing_wu,author,Xiaojing Wu,,,
author:wei_yang,author,Wei Yang,,,
author:darrin_m_york,author,Darrin M. York,,,
author:martin_karplus,author,Martin Karplus,,,
paper:arxiv:1609.03499,paper,WaveNet: A Generative Model for Raw Audio,exclude,adjacent_method,http://arxiv.org/abs/1609.03499
author:a_ron_van_den_oord,author,Aäron van den Oord,,,
author:sander_dieleman,author,Sander Dieleman,,,
author:heiga_zen,author,Heiga Zen,,,
author:karen_simonyan,author,Karen Simonyan,,,
author:oriol_vinyals,author,Oriol Vinyals,,,
author:alexander_graves,author,Alexander Graves,,,
author:nal_kalchbrenner,author,Nal Kalchbrenner,,,
author:andrew_senior,author,Andrew Senior,,,
author:koray_kavukcuoglu,author,Koray Kavukcuoglu,,,
paper:doi:10.1109/iccv.2019.00299,paper,6-DOF GraspNet: Variational Grasp Generation for Object Manipulation,exclude,author,https://doi.org/10.1109/iccv.2019.00299
author:arsalan_mousavian,author,Arsalan Mousavian,,,
author:clemens_eppner,author,Clemens Eppner,,,
author:dieter_fox,author,Dieter Fox,,,
paper:doi:10.1214/088342307000000014,paper,A General Framework for the Parametrization of Hierarchical Models,exclude,lineage,https://doi.org/10.1214/088342307000000014
author:martin_sk_ld,author,Martin Sköld,,,
paper:doi:10.1155/int/9987535,paper,A Review of Deepfake and Its Detection: From Generative Adversarial Networks to Diffusion Models,exclude,failure,https://doi.org/10.1155/int/9987535
author:baoping_liu,author,Baoping Liu,,,
author:bo_liu,author,Bo Liu,,,
author:tianqing_zhu,author,Tianqing Zhu,,,
author:ming_ding,author,Ming Ding,,,
paper:doi:10.1145/3656579,paper,A Survey of Multi-modal Knowledge Graphs: Technologies and Trends,exclude,author,https://doi.org/10.1145/3656579
author:wanying_liang,author,Wanying Liang,,,
author:pasquale_de_meo,author,Pasquale De Meo,,,
author:yong_tang,author,Yong Tang,,,
author:jia_zhu,author,Jia Zhu,,,
paper:doi:10.1007/s44379-024-00011-x,paper,A survey on machine learning approaches for uncertainty quantification of engineering systems,exclude,correction,https://doi.org/10.1007/s44379-024-00011-x
author:zhenzhou_l,author,Zhenzhou Lü,,,
author:pengfei_wei,author,Pengfei Wei,,,
author:ke_feng,author,Ke Feng,,,
author:de_cheng_feng,author,De‐Cheng Feng,,,
author:michael_beer,author,Michael Beer,,,
paper:doi:10.18653/v1/p18-1094,paper,Adversarial Contrastive Estimation,exclude,failure,https://doi.org/10.18653/v1/p18-1094
author:avishek_joey_bose,author,Avishek Joey Bose,,,
author:huan_ling,author,Huan Ling,,,
author:yanshuai_cao,author,Yanshuai Cao,,,
paper:doi:10.1007/s10955-016-1513-0,paper,Asymptotics of Sample Entropy Production Rate for Stochastic Differential Equations,exclude,objective,https://doi.org/10.1007/s10955-016-1513-0
author:jie_xiong,author,Jie Xiong,,,
author:lihu_xu,author,Lihu Xu,,,
paper:doi:10.1198/jcgs.2009.06148,paper,Bayesian Inference in Hidden Markov Random Fields for Binary Data Defined on Large Lattices,exclude,identity,https://doi.org/10.1198/jcgs.2009.06148
author:nial_friel,author,Nial Friel,,,
author:a_n_pettitt,author,A. N. Pettitt,,,
author:r_reeves,author,R. Reeves,,,
author:ernst_c_wit,author,Ernst C. Wit,,,
paper:doi:10.5167/uzh-71594,paper,Bayesian mixed-effects inference on classification performance in hierarchical datasets,exclude,correction,https://doi.org/10.5167/uzh-71594
author:kay_h_brodersen,author,Kay H. Brodersen,,,
author:christoph_mathys,author,Christoph Mathys,,,
author:justin_chumbley,author,Justin Chumbley,,,
author:jean_daunizeau,author,Jean Daunizeau,,,
author:cheng_soon_ong,author,Cheng Soon Ong,,,
author:buchmann_j_m,author,"Buchmann, J M",,,
author:klaas_stephan,author,Klaas Ε. Stephan,,,
paper:doi:10.1609/aaai.v33i01.33016834,paper,CGMH: Constrained Sentence Generation by Metropolis-Hastings Sampling,exclude,correction,https://doi.org/10.1609/aaai.v33i01.33016834
author:ning_miao,author,Ning Miao,,,
author:hao_zhou,author,Hao Zhou,,,
author:lili_mou,author,Lili Mou,,,
author:rui_yan,author,Rui Yan,,,
author:lei_li,author,Lei Li,,,
paper:doi:10.22331/q-2023-08-08-1076,paper,Classical models may be a better explanation of the Jiuzhang 1.0 Gaussian Boson Sampler than its targeted squeezed light model,exclude,author,https://doi.org/10.22331/q-2023-08-08-1076
author:javier_mart_nez_cifuentes,author,Javier Martínez-Cifuentes,,,
author:k_m_fonseca_romero,author,K. M. Fonseca-Romero,,,
author:nicol_s_quesada,author,Nicolás Quesada,,,
paper:doi:10.1088/1748-0221/15/11/p11004,paper,DCTRGAN: improving the precision of generative models with reweighting,exclude,failure,https://doi.org/10.1088/1748-0221/15/11/p11004
author:s_diefenbacher,author,S. Diefenbacher,,,
author:e_eren,author,E. Eren,,,
author:g_kasieczka,author,G. Kasieczka,,,
author:a_korol,author,A. Korol,,,
author:b_nachman,author,B. Nachman,,,
author:d_shih,author,D. Shih,,,
paper:doi:10.1112/jlms/s1-42.1.186b,paper,DIFFUSION PROCESSES AND THEIR SAMPLE PATHS,exclude,adjacent_method,https://doi.org/10.1112/jlms/s1-42.1.186b
author:samuel_taylor,author,Samuel Taylor,,,
paper:doi:10.1002/mrm.24736,paper,Design of multishell sampling schemes with uniform coverage in diffusion MRI,exclude,adjacent_method,https://doi.org/10.1002/mrm.24736
author:emmanuel_caruyer,author,Emmanuel Caruyer,,,
author:christophe_lenglet,author,Christophe Lenglet,,,
author:guillermo_sapiro,author,Guillermo Sapiro,,,
author:rachid_deriche,author,Rachid Deriche,,,
paper:doi:10.1007/978-3-642-62025-6,paper,Diffusion Processes and their Sample Paths,exclude,adjacent_method,https://doi.org/10.1007/978-3-642-62025-6
paper:doi:10.2307/2315169,paper,Diffusion Processes and their Sample Paths.,exclude,adjacent_method,https://doi.org/10.2307/2315169
author:g_f_newell,author,G. F. Newell,,,
author:kanae_ito,author,Kanae Ito,,,
paper:doi:10.46586/tches.v2022.i3.223-263,paper,Don’t Reject This: Key-Recovery Timing Attacks Due to Rejection-Sampling in HQC and BIKE,exclude,author,https://doi.org/10.46586/tches.v2022.i3.223-263
author:qian_guo,author,Qian Guo,,,
author:clemens_hlauschek,author,Clemens Hlauschek,,,
author:thomas_johansson,author,Thomas Johansson,,,
author:norman_lahr,author,Norman Lahr,,,
author:alexander_nilsson,author,Alexander Nilsson,,,
author:robin_leander_schr_der,author,Robin Leander Schröder,,,
paper:doi:10.1021/acsearthspacechem.2c00031,paper,Dynamic Responses of Trace Metal Bioaccessibility to Fluctuating Redox Conditions in Wetland Soils and Stream Sediments,exclude,author,https://doi.org/10.1021/acsearthspacechem.2c00031
author:neha_sharma,author,Neha Sharma,,,
author:zixuan_wang,author,Zixuan Wang,,,
author:jeffrey_g_catalano,author,Jeffrey G. Catalano,,,
author:daniel_e_giammar,author,Daniel E. Giammar,,,
paper:doi:10.1103/physrevlett.79.5154,paper,Dynamics of an Interacting Particle System: Evidence of Critical Slowing Down,exclude,failure,https://doi.org/10.1103/physrevlett.79.5154
author:c_djurberg,author,C. Djurberg,,,
author:peter_svedlindh,author,Peter Svedlindh,,,
author:,author,П. Нордблад,,,
author:mikkel_fougt_hansen,author,Mikkel Fougt Hansen,,,
author:f_b_dker,author,F. Bødker,,,
author:steen_m_rup,author,Steen Mørup,,,
paper:doi:10.2118/26436-ms,paper,Enhanced Reservoir Description: Using Core and Log Data to Identify Hydraulic (Flow) Units and Predict Permeability in Uncored Intervals/Wells,exclude,adjacent_method,https://doi.org/10.2118/26436-ms
author:j_o_amaefule,author,J. O. Amaefule,,,
author:mehmet_altunbay,author,Mehmet Altunbay,,,
author:djebbar_tiab,author,Djebbar Tiab,,,
author:david_g_kersey,author,David G. Kersey,,,
author:dare_k_keelan,author,Dare K. Keelan,,,
paper:doi:10.1103/physreve.85.031129,paper,Entropy production and Kullback-Leibler divergence between stationary trajectories of discrete systems,exclude,objective,https://doi.org/10.1103/physreve.85.031129
author:dgar_rold_n,author,Édgar Roldán,,,
author:juan_m_r_parrondo,author,Juan M. R. Parrondo,,,
paper:doi:10.1186/1471-2105-11-94,paper,Evaluation of statistical methods for normalization and differential expression in mRNA-Seq experiments,exclude,adjacent_method,https://doi.org/10.1186/1471-2105-11-94
author:james_bullard,author,James Bullard,,,
author:elizabeth_purdom,author,Elizabeth Purdom,,,
author:kasper_d_hansen,author,Kasper D. Hansen,,,
author:sandrine_dudoit,author,Sandrine Dudoit,,,
paper:doi:10.1038/s41557-023-01427-3,paper,Exploring the frontiers of condensed-phase chemistry with a general reactive machine learning potential,exclude,correction,https://doi.org/10.1038/s41557-023-01427-3
author:shuhao_zhang,author,Shuhao Zhang,,,
author:ma_gorzata_z_mako,author,Małgorzata Z. Makoś,,,
author:ryan_b_jadrich,author,Ryan B. Jadrich,,,
author:elfi_kraka,author,Elfi Kraka,,,
author:kipton_barros,author,Kipton Barros,,,
author:benjamin_nebgen,author,Benjamin Nebgen,,,
author:sergei_tretiak,author,Sergei Tretiak,,,
author:olexandr_isayev,author,Olexandr Isayev,,,
author:nicholas_lubbers,author,Nicholas Lubbers,,,
author:richard_a_messerly,author,Richard A. Messerly,,,
author:justin_s_smith,author,Justin S. Smith,,,
paper:doi:10.1103/physrevb.76.085416,paper,Freezing of argon in ordered and disordered porous carbon,exclude,failure,https://doi.org/10.1103/physrevb.76.085416
author:beno_t_coasne,author,Benoît Coasne,,,
author:surendra_jain,author,Surendra Jain,,,
author:linda_naamar,author,Linda Naamar,,,
author:keith_e_gubbins,author,Keith E. Gubbins,,,
paper:doi:10.1093/mnras/stv781,paper,GREAT3 results – I. Systematic errors in shear estimation and the impact of real galaxy morphology,exclude,correction,https://doi.org/10.1093/mnras/stv781
author:rachel_mandelbaum,author,Rachel Mandelbaum,,,
author:barnaby_rowe,author,Barnaby Rowe,,,
author:r_armstrong,author,R. Armstrong,,,
author:deborah_bard,author,Deborah Bard,,,
author:e_bertin,author,E. Bertin,,,
author:james_bosch,author,James Bosch,,,
author:d_boutigny,author,D. Boutigny,,,
author:f_courbin,author,F. Courbin,,,
author:william_a_dawson,author,William A. Dawson,,,
author:annamaria_donnarumma,author,Annamaria Donnarumma,,,
author:ian_fenech_conti,author,Ian Fenech Conti,,,
author:r_gavazzi,author,R. Gavazzi,,,
author:marc_gentile,author,Marc Gentile,,,
author:m_s_s_gill,author,M. S. S. Gill,,,
author:david_w_hogg,author,David W. Hogg,,,
author:eric_huff,author,Eric Huff,,,
author:m_james_jee,author,M. James Jee,,,
author:tomasz_kacprzak,author,Tomasz Kacprzak,,,
author:m_kilbinger,author,M. Kilbinger,,,
author:t_kuntzer,author,T. Kuntzer,,,
author:dustin_lang,author,Dustin Lang,,,
author:wentao_luo,author,Wentao Luo,,,
author:m_march,author,M. March,,,
author:philip_j_marshall,author,Philip J. Marshall,,,
author:joshua_e_meyers,author,Joshua E. Meyers,,,
author:l_miller,author,L. Miller,,,
author:hironao_miyatake,author,Hironao Miyatake,,,
author:reiko_nakajima,author,Reiko Nakajima,,,
author:fred_maurice_ngol_mboula,author,Fred Maurice Ngolè Mboula,,,
author:g_nurbaeva,author,G. Nurbaeva,,,
author:yuki_okura,author,Yuki Okura,,,
author:s_paulin_henriksson,author,S. Paulin‐Henriksson,,,
author:jason_rhodes,author,Jason Rhodes,,,
author:m_schneider,author,M. Schneider,,,
author:huanyuan_shan,author,Huanyuan Shan,,,
author:e_sheldon,author,E. Sheldon,,,
author:melanie_simet,author,Melanie Simet,,,
author:jean_luc_starck,author,Jean‐Luc Starck,,,
author:f_sureau,author,F. Sureau,,,
author:m_tewes,author,M. Tewes,,,
author:kristian_zarb_adami,author,Kristian Zarb Adami,,,
author:jun_zhang,author,Jun Zhang,,,
author:j_zuntz,author,J. Zuntz,,,
paper:doi:10.1016/j.neucom.2024.128373,paper,Generative diffusion models: A survey of current theoretical developments,exclude,failure,https://doi.org/10.1016/j.neucom.2024.128373
author:melike_nur_ye_in,author,Melike Nur Yeğin,,,
author:mehmet_fatih_amasyal,author,Mehmet Fatih Amasyalı,,,
paper:doi:10.1103/physrevb.101.214205,paper,Kinetically constrained freezing transition in a dipole-conserving system,exclude,failure,https://doi.org/10.1103/physrevb.101.214205
author:alan_morningstar,author,Alan Morningstar,,,
author:vedika_khemani,author,Vedika Khemani,,,
author:david_a_huse,author,David A. Huse,,,
paper:title:long range hybrid plasmonics,paper,Long Range Hybrid Plasmonics,exclude,author,http://hdl.handle.net/1807/69981
author:wen_ma,author,Wen Ma,,,
paper:doi:10.1111/1468-0262.00274,paper,Maximum Likelihood Estimation of Discretely Sampled Diffusions: A Closed-form Approximation Approach,exclude,adjacent_method,https://doi.org/10.1111/1468-0262.00274
author:yacine_a_t_sahalia,author,Yacine Aı̈t-Sahalia,,,
paper:doi:10.18653/v1/2022.acl-long.31,paper,Mix and Match: Learning-free Controllable Text Generationusing Energy Language Models,exclude,correction,https://doi.org/10.18653/v1/2022.acl-long.31
author:fatemehsadat_mireshghallah,author,Fatemehsadat Mireshghallah,,,
author:kartik_goyal,author,Kartik Goyal,,,
author:taylor_berg_kirkpatrick,author,Taylor Berg-Kirkpatrick,,,
paper:doi:10.1038/s43586-022-00121-x,paper,Nested sampling for physical scientists,exclude,correction,https://doi.org/10.1038/s43586-022-00121-x
author:g_ashton,author,G. Ashton,,,
author:noam_bernstein,author,Noam Bernstein,,,
author:johannes_b_chner,author,Johannes Büchner,,,
author:xi_chen,author,Xi Chen,,,
author:g_bor_c_anyi,author,Gábor Cśanyi,,,
author:andrew_fowlie,author,Andrew Fowlie,,,
author:farhan_feroz,author,Farhan Feroz,,,
author:matthew_griffiths,author,Matthew Griffiths,,,
author:will_handley,author,Will Handley,,,
author:michael_habeck,author,Michael Habeck,,,
author:edward_higson,author,Edward Higson,,,
author:m_p_hobson,author,M. P. Hobson,,,
author:a_lasenby,author,A. Lasenby,,,
author:david_parkinson,author,David Parkinson,,,
author:l_via_b_p_rtay,author,Lívia B. Pártay,,,
author:m_pitkin,author,M. Pitkin,,,
author:doris_schneider,author,Doris Schneider,,,
author:joshua_s_speagle,author,Joshua S. Speagle,,,
author:leah_f_south,author,Leah F. South,,,
author:j_veitch,author,J. Veitch,,,
author:philipp_wacker,author,Philipp Wacker,,,
author:david_j_wales,author,David J. Wales,,,
author:d_p_yallup,author,D. P. Yallup,,,
paper:doi:10.1103/physrevd.103.103006,paper,Nested sampling with normalizing flows for gravitational-wave inference,exclude,adjacent_method,https://doi.org/10.1103/physrevd.103.103006
author:m_j_williams,author,M. J. Williams,,,
author:c_messenger,author,C. Messenger,,,
paper:arxiv:1711.02281,paper,Non-Autoregressive Neural Machine Translation,exclude,adjacent_method,http://arxiv.org/abs/1711.02281
author:jiatao_gu,author,Jiatao Gu,,,
author:james_bradbury,author,James Bradbury,,,
author:caiming_xiong,author,Caiming Xiong,,,
author:victor_o_k_li,author,Victor O. K. Li,,,
author:richard_socher,author,Richard Socher,,,
paper:doi:10.1109/tpami.2020.2992934,paper,Normalizing Flows: An Introduction and Review of Current Methods,exclude,adjacent_method,https://doi.org/10.1109/tpami.2020.2992934
author:ivan_kobyzev,author,Ivan Kobyzev,,,
author:simon_j_d_prince,author,Simon J. D. Prince,,,
author:marcus_a_brubaker,author,Marcus A. Brubaker,,,
paper:doi:10.1080/10485250601033214,paper,On the geometric ergodicity of Metropolis-Hastings algorithms,exclude,correction,https://doi.org/10.1080/10485250601033214
author:yves_f_atchad,author,Yves F. Atchadé,,,
author:fran_ois_perron,author,François Perron,,,
paper:doi:10.1016/j.neuroimage.2007.05.012,paper,Parametric spherical deconvolution: Inferring anatomical connectivity using diffusion MR imaging,exclude,lineage,https://doi.org/10.1016/j.neuroimage.2007.05.012
author:enrico_kaden,author,Enrico Kaden,,,
author:thomas_r_kn_sche,author,Thomas R. Knösche,,,
author:alfred_anwander,author,Alfred Anwander,,,
paper:doi:10.2824/92307,paper,Post-Quantum Cryptography: Current state and quantum mitigation,exclude,author,https://research.tue.nl/nl/publications/ad93d053-a85c-4ace-bdd4-9cbe1a75d6bd
author:ward_beullens,author,Ward Beullens,,,
author:jan_pieter_d_anvers,author,Jan-Pieter D’Anvers,,,
author:andreas_h_lsing,author,Andreas Hülsing,,,
author:tanja_lange,author,Tanja Lange,,,
author:lorenz_panny,author,Lorenz Panny,,,
author:cyprien_delpech_de_saint_guilhem,author,Cyprien Delpech de Saint Guilhem,,,
author:nigel_p_smart,author,Nigel P. Smart,,,
paper:doi:10.1038/s41598-018-26827-1,paper,Processing and Properties of High-Entropy Ultra-High Temperature Carbides,exclude,objective,https://doi.org/10.1038/s41598-018-26827-1
author:elinor_g_castle,author,Elinor G. Castle,,,
author:tam_s_csan_di,author,Tamás Csanádi,,,
author:salvatore_grasso,author,Salvatore Grasso,,,
author:j_n_dusza,author,Ján Dusza,,,
author:michael_j_reece,author,Michael J. Reece,,,
paper:doi:10.2172/2229681,paper,"Quantum Optimization: Potential, Challenges, and the Path Forward",exclude,identity,https://doi.org/10.2172/2229681
author:amira_abbas,author,Amira Abbas,,,
author:andris_ambainis,author,Andris Ambainis,,,
author:brandon_augustino,author,Brandon Augustino,,,
author:andreas_baertschi,author,Andreas Baertschi,,,
author:harry_buhrman,author,Harry Buhrman,,,
author:carleton_coffrin,author,Carleton Coffrin,,,
author:g_cortiana,author,G. Cortiana,,,
author:vedran_dunjko,author,Vedran Dunjko,,,
author:daniel_j_egger,author,Daniel J. Egger,,,
author:bruce_g_elmegreen,author,Bruce G. Elmegreen,,,
author:nicola_franco,author,Nicola Franco,,,
author:f_fratini,author,F. Fratini,,,
author:bryce_fuller,author,Bryce Fuller,,,
author:julien_gacon,author,Julien Gacon,,,
author:constantin_gonciulea,author,Constantin Gonciulea,,,
author:sander_gribling,author,Sander Gribling,,,
author:swati_gupta,author,Swati Gupta,,,
author:stuart_hadfield,author,Stuart Hadfield,,,
author:raoul_heese,author,Raoul Heese,,,
author:gerhard_kircher,author,Gerhard Kircher,,,
author:thomas_kleinert,author,Thomas Kleinert,,,
author:thorsten_koch,author,Thorsten Koch,,,
author:georgios_korpas,author,Georgios Korpas,,,
author:steve_lenk,author,Steve Lenk,,,
author:jakub_mare_ek,author,Jakub Mareček,,,
author:vanio_markov,author,Vanio Markov,,,
author:guglielmo_mazzola,author,Guglielmo Mazzola,,,
author:stefano_mensa,author,Stefano Mensa,,,
author:naeimeh_mohseni,author,Naeimeh Mohseni,,,
author:giacomo_nannicini,author,Giacomo Nannicini,,,
author:corey_o_meara,author,Corey O’Meara,,,
author:elena_pe_a_tapia,author,Elena Peña Tapia,,,
author:sebastian_pokutta,author,Sebastian Pokutta,,,
author:manuel_proissl,author,Manuel Proissl,,,
author:patrick_rebentrost,author,Patrick Rebentrost,,,
author:emre_sahin,author,Emre Sahin,,,
author:benjamin_c_b_symons,author,Benjamin C. B. Symons,,,
author:sabine_tornow,author,Sabine Tornow,,,
author:v_ctor_valls,author,Víctor Valls,,,
author:stefan_woerner,author,Stefan Woerner,,,
author:mira_wolf_bauwens,author,Mira Wolf-Bauwens,,,
author:jon_yard,author,Jon Yard,,,
author:sheir_yarkoni,author,Sheir Yarkoni,,,
author:dirk_zechiel,author,Dirk Zechiel,,,
author:sergiy_zhuk,author,Sergiy Zhuk,,,
author:christa_zoufal,author,Christa Zoufal,,,
paper:doi:10.1016/j.ress.2023.109729,paper,REIN: Reliability Estimation via Importance sampling with Normalizing flows,exclude,adjacent_method,https://doi.org/10.1016/j.ress.2023.109729
author:agnimitra_dasgupta,author,Agnimitra Dasgupta,,,
author:e_a_johnson,author,E. A. Johnson,,,
